row_id,review_instance_id,item_role,stage176_cohort,intervention_type,integrity_status,grammar_valid,contract_exact_match,canonical_control_valid,schema_resolved,native_frame_label,native_frame_prediction,stage181_primary_stratum,final_diagnostic_class,pair_id,match_link_id,matched_source_row_id,anomaly_codes,grammar_invalid,multi_axis_contamination,ineffective_intervention,canonical_control_invalid
generated_fact_083__role_swap,R180-0024,hard,beneficial_correction,role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,False,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_083,M180-0005,generated_fact_151__role_swap,"[""CANONICAL_CONTROL_INVALID""]",False,False,False,True
generated_fact_086__entity_swap,R180-0055,hard,beneficial_correction,entity_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,False,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_086,M180-0006,generated_fact_158__entity_swap,"[""CANONICAL_CONTROL_INVALID""]",False,False,False,True
generated_fact_110__entity_swap,R180-0018,hard,beneficial_correction,entity_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,False,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_110,M180-0011,generated_fact_176__entity_swap,"[""CANONICAL_CONTROL_INVALID""]",False,False,False,True
generated_fact_135__role_swap,R180-0053,hard,beneficial_correction,role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,False,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_135,M180-0012,generated_fact_165__role_swap,"[""CANONICAL_CONTROL_INVALID""]",False,False,False,True
generated_fact_153__location_swap,R180-0029,hard,beneficial_correction,location_swap,CONTAMINATED_CONSTRUCTION,True,False,False,True,0,0,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_153,M180-0014,generated_fact_161__location_swap,"[""NON_POLARITY_INTERVENTION_POLARITY_CHANGE"", ""CANONICAL_CONTROL_INVALID""]",False,True,False,True
generated_fact_158__location_swap,R180-0040,hard,beneficial_correction,location_swap,CONTAMINATED_CONSTRUCTION,True,False,True,True,0,0,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_158,M180-0015,generated_fact_146__location_swap,"[""NON_POLARITY_INTERVENTION_POLARITY_CHANGE""]",False,True,False,False
generated_fact_158__role_swap,R180-0047,hard,beneficial_correction,role_swap,CONTAMINATED_CONSTRUCTION,True,False,True,True,0,0,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_158,M180-0016,generated_fact_110__role_swap,"[""NON_POLARITY_INTERVENTION_POLARITY_CHANGE""]",False,True,False,False
generated_fact_158__title_name_swap,R180-0032,hard,beneficial_correction,title_name_swap,CONTAMINATED_CONSTRUCTION,True,False,True,True,0,0,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_158,M180-0017,generated_fact_110__title_name_swap,"[""NON_POLARITY_INTERVENTION_POLARITY_CHANGE""]",False,True,False,False
generated_fact_176__location_swap,R180-0084,hard,beneficial_correction,location_swap,CONTAMINATED_CONSTRUCTION,True,False,False,True,0,0,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_176,M180-0018,generated_fact_172__location_swap,"[""NON_POLARITY_INTERVENTION_POLARITY_CHANGE"", ""CANONICAL_CONTROL_INVALID""]",False,True,False,True
generated_fact_225__location_swap,R180-0079,hard,beneficial_correction,location_swap,CONTAMINATED_CONSTRUCTION,True,False,True,True,0,0,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_225,M180-0020,generated_fact_089__location_swap,"[""NON_POLARITY_INTERVENTION_POLARITY_CHANGE""]",False,True,False,False
