dimension,identifier,eligible_rows,expected_rows,passed,interpretation
pair,archive_release,5,5,true,equal row and pair mean under current topology
pair,bridge_opening,5,5,true,equal row and pair mean under current topology
pair,canal_reopening,5,5,true,equal row and pair mean under current topology
pair,dam_inspection,5,5,true,equal row and pair mean under current topology
pair,ferry_launch,5,5,true,equal row and pair mean under current topology
pair,festival_selection,5,5,true,equal row and pair mean under current topology
pair,forest_mapping,5,5,true,equal row and pair mean under current topology
pair,garden_award,5,5,true,equal row and pair mean under current topology
pair,generated_fact_031,5,5,true,equal row and pair mean under current topology
pair,generated_fact_032,5,5,true,equal row and pair mean under current topology
pair,generated_fact_033,5,5,true,equal row and pair mean under current topology
pair,generated_fact_034,5,5,true,equal row and pair mean under current topology
pair,generated_fact_035,5,5,true,equal row and pair mean under current topology
pair,generated_fact_036,5,5,true,equal row and pair mean under current topology
pair,generated_fact_037,5,5,true,equal row and pair mean under current topology
pair,generated_fact_038,5,5,true,equal row and pair mean under current topology
pair,generated_fact_040,5,5,true,equal row and pair mean under current topology
pair,generated_fact_041,5,5,true,equal row and pair mean under current topology
pair,generated_fact_042,5,5,true,equal row and pair mean under current topology
pair,generated_fact_043,5,5,true,equal row and pair mean under current topology
pair,generated_fact_044,5,5,true,equal row and pair mean under current topology
pair,generated_fact_046,5,5,true,equal row and pair mean under current topology
pair,generated_fact_047,5,5,true,equal row and pair mean under current topology
pair,generated_fact_048,5,5,true,equal row and pair mean under current topology
pair,generated_fact_049,5,5,true,equal row and pair mean under current topology
pair,generated_fact_050,5,5,true,equal row and pair mean under current topology
pair,generated_fact_051,5,5,true,equal row and pair mean under current topology
pair,generated_fact_052,5,5,true,equal row and pair mean under current topology
pair,generated_fact_053,5,5,true,equal row and pair mean under current topology
pair,generated_fact_054,5,5,true,equal row and pair mean under current topology
pair,generated_fact_056,5,5,true,equal row and pair mean under current topology
pair,generated_fact_057,5,5,true,equal row and pair mean under current topology
pair,generated_fact_058,5,5,true,equal row and pair mean under current topology
pair,generated_fact_059,5,5,true,equal row and pair mean under current topology
pair,generated_fact_060,5,5,true,equal row and pair mean under current topology
pair,generated_fact_061,5,5,true,equal row and pair mean under current topology
pair,generated_fact_062,5,5,true,equal row and pair mean under current topology
pair,generated_fact_063,5,5,true,equal row and pair mean under current topology
pair,generated_fact_064,5,5,true,equal row and pair mean under current topology
pair,generated_fact_065,5,5,true,equal row and pair mean under current topology
pair,generated_fact_066,5,5,true,equal row and pair mean under current topology
pair,generated_fact_067,5,5,true,equal row and pair mean under current topology
pair,generated_fact_068,5,5,true,equal row and pair mean under current topology
pair,generated_fact_069,5,5,true,equal row and pair mean under current topology
pair,generated_fact_070,5,5,true,equal row and pair mean under current topology
pair,generated_fact_071,5,5,true,equal row and pair mean under current topology
pair,generated_fact_072,5,5,true,equal row and pair mean under current topology
pair,generated_fact_074,5,5,true,equal row and pair mean under current topology
pair,generated_fact_076,5,5,true,equal row and pair mean under current topology
pair,generated_fact_077,5,5,true,equal row and pair mean under current topology
pair,generated_fact_079,5,5,true,equal row and pair mean under current topology
pair,generated_fact_081,5,5,true,equal row and pair mean under current topology
pair,generated_fact_082,5,5,true,equal row and pair mean under current topology
pair,generated_fact_084,5,5,true,equal row and pair mean under current topology
pair,generated_fact_085,5,5,true,equal row and pair mean under current topology
pair,generated_fact_088,5,5,true,equal row and pair mean under current topology
pair,generated_fact_091,5,5,true,equal row and pair mean under current topology
pair,generated_fact_092,5,5,true,equal row and pair mean under current topology
pair,generated_fact_093,5,5,true,equal row and pair mean under current topology
pair,generated_fact_094,5,5,true,equal row and pair mean under current topology
pair,generated_fact_095,5,5,true,equal row and pair mean under current topology
pair,generated_fact_096,5,5,true,equal row and pair mean under current topology
pair,generated_fact_097,5,5,true,equal row and pair mean under current topology
pair,generated_fact_098,5,5,true,equal row and pair mean under current topology
pair,generated_fact_099,5,5,true,equal row and pair mean under current topology
pair,generated_fact_100,5,5,true,equal row and pair mean under current topology
pair,generated_fact_101,5,5,true,equal row and pair mean under current topology
pair,generated_fact_103,5,5,true,equal row and pair mean under current topology
pair,generated_fact_104,5,5,true,equal row and pair mean under current topology
pair,generated_fact_105,5,5,true,equal row and pair mean under current topology
pair,generated_fact_106,5,5,true,equal row and pair mean under current topology
pair,generated_fact_107,5,5,true,equal row and pair mean under current topology
pair,generated_fact_108,5,5,true,equal row and pair mean under current topology
pair,generated_fact_109,5,5,true,equal row and pair mean under current topology
pair,generated_fact_111,5,5,true,equal row and pair mean under current topology
pair,generated_fact_112,5,5,true,equal row and pair mean under current topology
pair,generated_fact_113,5,5,true,equal row and pair mean under current topology
pair,generated_fact_114,5,5,true,equal row and pair mean under current topology
pair,generated_fact_116,5,5,true,equal row and pair mean under current topology
pair,generated_fact_117,5,5,true,equal row and pair mean under current topology
pair,generated_fact_119,5,5,true,equal row and pair mean under current topology
pair,generated_fact_122,5,5,true,equal row and pair mean under current topology
pair,generated_fact_123,5,5,true,equal row and pair mean under current topology
pair,generated_fact_124,5,5,true,equal row and pair mean under current topology
pair,generated_fact_125,5,5,true,equal row and pair mean under current topology
pair,generated_fact_126,5,5,true,equal row and pair mean under current topology
pair,generated_fact_127,5,5,true,equal row and pair mean under current topology
pair,generated_fact_129,5,5,true,equal row and pair mean under current topology
pair,generated_fact_130,5,5,true,equal row and pair mean under current topology
pair,generated_fact_131,5,5,true,equal row and pair mean under current topology
pair,generated_fact_132,5,5,true,equal row and pair mean under current topology
pair,generated_fact_133,5,5,true,equal row and pair mean under current topology
pair,generated_fact_134,5,5,true,equal row and pair mean under current topology
pair,generated_fact_136,5,5,true,equal row and pair mean under current topology
pair,generated_fact_137,5,5,true,equal row and pair mean under current topology
pair,generated_fact_139,5,5,true,equal row and pair mean under current topology
pair,generated_fact_140,5,5,true,equal row and pair mean under current topology
pair,generated_fact_141,5,5,true,equal row and pair mean under current topology
pair,generated_fact_142,5,5,true,equal row and pair mean under current topology
pair,generated_fact_143,5,5,true,equal row and pair mean under current topology
pair,generated_fact_145,5,5,true,equal row and pair mean under current topology
pair,generated_fact_147,5,5,true,equal row and pair mean under current topology
pair,generated_fact_148,5,5,true,equal row and pair mean under current topology
pair,generated_fact_149,5,5,true,equal row and pair mean under current topology
pair,generated_fact_150,5,5,true,equal row and pair mean under current topology
pair,glacier_study,5,5,true,equal row and pair mean under current topology
pair,harbor_upgrade,5,5,true,equal row and pair mean under current topology
pair,jazz_archive,5,5,true,equal row and pair mean under current topology
pair,library_digitization,5,5,true,equal row and pair mean under current topology
pair,market_renovation,5,5,true,equal row and pair mean under current topology
pair,opera_premiere,5,5,true,equal row and pair mean under current topology
pair,poetry_prize,5,5,true,equal row and pair mean under current topology
pair,railway_restoration,5,5,true,equal row and pair mean under current topology
pair,robotics_championship,5,5,true,equal row and pair mean under current topology
pair,school_opening,5,5,true,equal row and pair mean under current topology
pair,solar_farm_contract,5,5,true,equal row and pair mean under current topology
pair,theater_restoration,5,5,true,equal row and pair mean under current topology
pair,treaty_signature,5,5,true,equal row and pair mean under current topology
pair,vaccine_delivery,5,5,true,equal row and pair mean under current topology
pair,volcano_observatory,5,5,true,equal row and pair mean under current topology
pair,wetland_restoration,5,5,true,equal row and pair mean under current topology
family,evidence_deletion,121,121,true,reported balance; never an eligibility rule
family,evidence_truncation,121,121,true,reported balance; never an eligibility rule
family,none,121,121,true,reported balance; never an eligibility rule
family,paraphrase,121,121,true,reported balance; never an eligibility rule
family,predicate_swap,121,121,true,reported balance; never an eligibility rule
