order,graph_stage,symbol,classification,actual_causal_input,consumed_by,source_file,source_callable,source_start_line,source_end_line,native_expression,p0_sidecar_field,available_in_p0,learned_parameter_required,hidden_state_required,availability_reason,exported_b2b3p0_field,recomposition_field_role,swapped_by_variants,downstream_dependency,exact_formula_implemented,positive_control_inclusion
1,decision_head_input,frame_prob,actual causal composer input,true,FinalEntitlementDecisionHead.forward,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,431,438,frame['frame_prob'],frame_probability,true,false,false,exported exactly,frame_prob,primitive,FRAME_ONLY|ENTITLEMENT_PRIMITIVES|ENTITLEMENT_PLUS_POLARITY,entitlement and decision head,E=frame_prob*predicate_coverage_prob*sufficiency_prob,true
2,decision_head_input,predicate_coverage_prob,actual causal composer input,true,FinalEntitlementDecisionHead.forward,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,431,438,predicate['predicate_coverage_prob'],predicate_coverage_probability,true,false,false,exported exactly,predicate_coverage_prob,primitive,PREDICATE_ONLY|ENTITLEMENT_PRIMITIVES|ENTITLEMENT_PLUS_POLARITY,entitlement and decision head,same product,true
3,decision_head_input,sufficiency_prob,actual causal composer input,true,FinalEntitlementDecisionHead.forward,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,431,438,sufficiency['sufficiency_prob'],sufficiency_probability,true,false,false,exported exactly,sufficiency_prob,primitive,SUFFICIENCY_ONLY|ENTITLEMENT_PRIMITIVES|ENTITLEMENT_PLUS_POLARITY,entitlement and decision head,same product,true
4,decision_head_input,positive_energy,actual causal composer input,true,FinalEntitlementDecisionHead.forward,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,431,438,polarity['positive_energy'],,false,false,false,actual polarity energy is not exported,,source-authority field,,FinalEntitlementDecisionHead.forward,polarity['positive_energy'],true
5,decision_head_input,negative_energy,actual causal composer input,true,FinalEntitlementDecisionHead.forward,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,431,438,polarity['negative_energy'],,false,false,false,actual polarity energy is not exported,,source-authority field,,FinalEntitlementDecisionHead.forward,polarity['negative_energy'],true
6,derived_entitlement_prob,entitlement_prob,derived causal intermediate,true,SUPPORT/REFUTE/NOT_ENTITLED equations,src/contramamba/heads/entitlement_decision.py,FinalEntitlementDecisionHead.forward,50,52,frame_prob * predicate_coverage_prob * sufficiency_prob,entitlement_probability,true,false,false,exported value is diagnostic evidence only; swaps must recompute it from primitives,entitlement_probability,source-authority field,,SUPPORT/REFUTE/NOT_ENTITLED equations,frame_prob * predicate_coverage_prob * sufficiency_prob,true
7,decision_parameter,not_entitled_bias,learned causal parameter,true,NOT_ENTITLED equation,src/contramamba/heads/entitlement_decision.py,FinalEntitlementDecisionHead.forward,65,67,self.not_entitled_bias,,false,true,false,epoch-specific learned parameter is not exported,,source-authority field,,NOT_ENTITLED equation,self.not_entitled_bias,true
8,decision_parameter,raw_alpha/softplus_alpha,learned causal parameter,true,NOT_ENTITLED equation,src/contramamba/heads/entitlement_decision.py,FinalEntitlementDecisionHead.forward,64,64,F.softplus(self.raw_alpha),,false,true,false,epoch-specific learned parameter is not exported,,source-authority field,,NOT_ENTITLED equation,F.softplus(self.raw_alpha),true
9,base_logit,support_logit,native causal output,true,final logit modulation,src/contramamba/heads/entitlement_decision.py,FinalEntitlementDecisionHead.forward,62,62,entitlement_prob * positive_energy,support_logit,true,false,false,exported,support_logit,source-authority field,,final logit modulation,entitlement_prob * positive_energy,true
10,base_logit,refute_logit,native causal output,true,final prediction,src/contramamba/heads/entitlement_decision.py,FinalEntitlementDecisionHead.forward,63,63,entitlement_prob * negative_energy,,false,false,false,REFUTE logit is not exported,,source-authority field,,final prediction,entitlement_prob * negative_energy,true
11,base_logit,not_entitled_logit,native causal output,true,final logit modulation,src/contramamba/heads/entitlement_decision.py,FinalEntitlementDecisionHead.forward,65,67,self.not_entitled_bias + alpha * (1.0 - entitlement_prob),not_entitled_logit,true,true,false,output is exported but its learned causal parameters are not,not_entitled_logit,source-authority field,,final logit modulation,self.not_entitled_bias + alpha * (1.0 - entitlement_prob),true
12,final_modulation,temporal/predicate mismatch flags,actual causal composer input,true,ContraMambaV6BMinimal final logits,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,274,591,boolean active masks,,false,false,false,actual per-row flags are not exported,,source-authority field,,ContraMambaV6BMinimal final logits,boolean active masks,true
13,final_modulation,alpha_temporal/alpha_predicate,learned causal parameter,true,ContraMambaV6BMinimal final logits,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,274,591,softplus-constrained comparator alpha,,false,true,false,epoch-specific comparator parameters are not exported,,source-authority field,,ContraMambaV6BMinimal final logits,softplus-constrained comparator alpha,true
14,final_modulation,temporal_adapter_logit/effective_penalty_scale,conditional actual causal input,true,ContraMambaV6BMinimal final logits,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,274,591,sigmoid(temporal_adapter_logit) * temporal_adapter_final_penalty_scale,,false,false,false,effective epoch/row state and activation configuration are not exported,,source-authority field,,ContraMambaV6BMinimal final logits,sigmoid(temporal_adapter_logit) * temporal_adapter_final_penalty_scale,true
15,final_modulation,temporal_channel_logit/preservation_entitlement_prob/effective_scale,conditional actual causal input,true,ContraMambaV6BMinimal final logits,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,274,591,sigmoid(temporal_channel_logit) * (1 - preservation_entitlement_prob) * temporal_channel_gated_penalty_scale,,false,false,false,effective epoch/row state and activation configuration are not exported,,source-authority field,,ContraMambaV6BMinimal final logits,sigmoid(temporal_channel_logit) * (1 - preservation_entitlement_prob) * temporal_channel_gated_penalty_scale,true
16,diagnostic_export,polarity_support_margin,exported diagnostic value,false,no downstream composer consumer,src/contramamba/modeling_v6b_minimal.py,ContraMambaV6BMinimal.forward,431,438,positive_energy - negative_energy,polarity_support_margin,true,false,false,not consumed by the decision head; cannot replace the two energies,polarity_support_margin,source-authority field,,no downstream composer consumer,positive_energy - negative_energy,true
,,,,,,,,,,,,,,,,"condition_input,raw_alpha_temporal",final-modulation branch,FULL_COMPOSER_INPUT_POSITIVE_CONTROL,"REFUTE-,NOT_ENTITLED+,SUPPORT-; independent of six component subsets","active*softplus(raw);[-m,+m,-m]",true
,,,,,,,,,,,,,,,,"condition_input,raw_alpha_predicate",final-modulation branch,FULL_COMPOSER_INPUT_POSITIVE_CONTROL,"REFUTE-,NOT_ENTITLED+,SUPPORT-; independent of six component subsets","active*softplus(raw);[-m,+m,-m]",true
,,,,,,,,,,,,,,,,"adapter_logit,final_penalty_scale",final-modulation branch,FULL_COMPOSER_INPUT_POSITIVE_CONTROL,"REFUTE-,NOT_ENTITLED+,SUPPORT-; independent of six component subsets","sigmoid(logit)*scale;[-m,+m,-m]",true
,,,,,,,,,,,,,,,,"channel_logit,preservation_entitlement_prob,gated_penalty_scale",final-modulation branch,FULL_COMPOSER_INPUT_POSITIVE_CONTROL,"REFUTE-,NOT_ENTITLED+,SUPPORT-; independent of six component subsets","sigmoid(logit)*(1-preservation)*scale;[-m,+m,-m]",true
