row_id,review_instance_id,item_role,stage176_cohort,intervention_type,integrity_status,grammar_valid,contract_exact_match,canonical_control_valid,schema_resolved,native_frame_label,native_frame_prediction,stage181_primary_stratum,final_diagnostic_class,pair_id,match_link_id,matched_source_row_id,anomaly_codes,grammar_invalid,multi_axis_contamination,ineffective_intervention,canonical_control_invalid
clinic_expansion__location_swap,R180-0077,hard,beneficial_correction,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,clinic_expansion,M180-0001,satellite_launch__location_swap,[],False,False,False,False
generated_fact_039__location_swap,R180-0022,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_039,M180-0028,generated_fact_271__location_swap,[],False,False,False,False
generated_fact_039__role_swap,R180-0015,control,none,role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_039,M180-0008,generated_fact_087__role_swap,[],False,False,False,False
generated_fact_039__title_name_swap,R180-0059,control,none,title_name_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_039,M180-0021,generated_fact_227__title_name_swap,[],False,False,False,False
generated_fact_045__none,R180-0010,control,none,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_045,M180-0002,generated_fact_055__none,[],False,False,False,False
generated_fact_055__location_swap,R180-0041,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_055,M180-0037,reef_protection__location_swap,[],False,False,False,False
generated_fact_055__none,R180-0050,hard,harmful_regression,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,generated_fact_055,M180-0002,generated_fact_045__none,[],False,False,False,False
generated_fact_073__location_swap,R180-0080,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_073,M180-0025,generated_fact_238__location_swap,[],False,False,False,False
generated_fact_075__location_swap,R180-0070,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_075,M180-0030,generated_fact_273__location_swap,[],False,False,False,False
generated_fact_075__paraphrase,R180-0042;R180-0044,control,none,paraphrase,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_075,M180-0034,language_program__paraphrase,[],False,False,False,False
generated_fact_078__location_swap,R180-0071,hard,beneficial_correction,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,generated_fact_078,M180-0003,generated_fact_120__location_swap,[],False,False,False,False
generated_fact_078__polarity_flip,R180-0065,control,none,polarity_flip,CONTAMINATED_CONSTRUCTION,False,True,False,True,1,1,CONTROL_ANOMALY,CONTROL_ANOMALY,generated_fact_078,M180-0033,generated_fact_300__polarity_flip,"[""DID_NOT_INFLECTED_PREDICATE""]",True,False,False,True
generated_fact_080__location_swap,R180-0078,hard,beneficial_correction,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,generated_fact_080,M180-0004,generated_fact_128__location_swap,[],False,False,False,False
generated_fact_080__title_name_swap,R180-0034,control,none,title_name_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_080,M180-0024,generated_fact_230__title_name_swap,[],False,False,False,False
generated_fact_083__none,R180-0073,control,none,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_083,M180-0039,satellite_launch__none,[],False,False,False,False
generated_fact_083__role_swap,R180-0024,hard,beneficial_correction,role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,False,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_083,M180-0005,generated_fact_151__role_swap,"[""CANONICAL_CONTROL_INVALID""]",False,False,False,True
generated_fact_086__entity_swap,R180-0055,hard,beneficial_correction,entity_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,False,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_086,M180-0006,generated_fact_158__entity_swap,"[""CANONICAL_CONTROL_INVALID""]",False,False,False,True
generated_fact_086__none,R180-0014;R180-0027,hard,harmful_regression,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,generated_fact_086,M180-0007,reef_protection__none,[],False,False,False,False
generated_fact_087__role_swap,R180-0011,hard,beneficial_correction,role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,generated_fact_087,M180-0008,generated_fact_039__role_swap,[],False,False,False,False
generated_fact_089__location_swap,R180-0060,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_089,M180-0020,generated_fact_225__location_swap,[],False,False,False,False
generated_fact_089__none,R180-0058,control,none,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_089,M180-0013,generated_fact_146__none,[],False,False,False,False
generated_fact_090__location_swap,R180-0037,hard,beneficial_correction,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,generated_fact_090,M180-0009,generated_fact_138__location_swap,[],False,False,False,False
generated_fact_090__none,R180-0052,hard,harmful_regression,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,generated_fact_090,M180-0010,generated_fact_118__none,[],False,False,False,False
generated_fact_110__entity_swap,R180-0018,hard,beneficial_correction,entity_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,False,True,0,0,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,generated_fact_110,M180-0011,generated_fact_176__entity_swap,"[""CANONICAL_CONTROL_INVALID""]",False,False,False,True
generated_fact_110__role_swap,R180-0043,control,none,role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_110,M180-0016,generated_fact_158__role_swap,[],False,False,False,False
generated_fact_110__title_name_swap,R180-0086,control,none,title_name_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_110,M180-0017,generated_fact_158__title_name_swap,[],False,False,False,False
generated_fact_115__none,R180-0008,control,none,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_115,M180-0035,museum_purchase__none,[],False,False,False,False
generated_fact_118__none,R180-0017,control,none,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_118,M180-0010,generated_fact_090__none,[],False,False,False,False
generated_fact_120__location_swap,R180-0009,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_120,M180-0003,generated_fact_078__location_swap,[],False,False,False,False
generated_fact_128__location_swap,R180-0004;R180-0025,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_128,M180-0004,generated_fact_080__location_swap,[],False,False,False,False
