detector_mode,seed,split,stage15_probe_type,selected_alpha,n,base_accuracy,adjusted_accuracy,base_false_entitled_count,adjusted_false_entitled_count,base_false_entitled_rate,adjusted_false_entitled_rate,changed_count,predicate_mismatch_flag_count,base_prediction_distribution,adjusted_prediction_distribution
lexical_predicate,1,calibration,frame_location_mismatch,1.25,13,0.7692307692307693,0.7692307692307693,3,3,0.23076923076923078,0.23076923076923078,0,0,"{""NOT_ENTITLED"": 10, ""SUPPORT"": 3}","{""NOT_ENTITLED"": 10, ""SUPPORT"": 3}"
lexical_predicate,1,calibration,frame_role_mismatch,1.25,8,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 8}","{""NOT_ENTITLED"": 8}"
lexical_predicate,1,calibration,predicate_mismatch,1.25,51,0.43137254901960786,0.9411764705882353,29,3,0.5686274509803921,0.058823529411764705,26,48,"{""NOT_ENTITLED"": 22, ""SUPPORT"": 29}","{""NOT_ENTITLED"": 48, ""SUPPORT"": 3}"
lexical_predicate,1,calibration,sufficiency_control,1.25,56,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 56}","{""NOT_ENTITLED"": 56}"
lexical_predicate,1,calibration,surface_control,1.25,42,0.9761904761904762,0.9761904761904762,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 1, ""SUPPORT"": 41}","{""NOT_ENTITLED"": 1, ""SUPPORT"": 41}"
lexical_predicate,1,calibration,temporal_erased,1.25,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""SUPPORT"": 50}","{""SUPPORT"": 50}"
lexical_predicate,1,calibration,temporal_mismatch,1.25,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 50}","{""NOT_ENTITLED"": 50}"
lexical_predicate,1,heldout,frame_location_mismatch,1.25,7,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 7}","{""NOT_ENTITLED"": 7}"
lexical_predicate,1,heldout,frame_role_mismatch,1.25,12,0.9166666666666666,0.9166666666666666,1,1,0.08333333333333333,0.08333333333333333,0,0,"{""NOT_ENTITLED"": 11, ""SUPPORT"": 1}","{""NOT_ENTITLED"": 11, ""SUPPORT"": 1}"
lexical_predicate,1,heldout,predicate_mismatch,1.25,49,0.4897959183673469,0.9795918367346939,25,1,0.5102040816326531,0.02040816326530612,24,48,"{""NOT_ENTITLED"": 24, ""SUPPORT"": 25}","{""NOT_ENTITLED"": 48, ""SUPPORT"": 1}"
lexical_predicate,1,heldout,sufficiency_control,1.25,44,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 44}","{""NOT_ENTITLED"": 44}"
lexical_predicate,1,heldout,surface_control,1.25,58,1.0,1.0,0,0,0.0,0.0,0,0,"{""SUPPORT"": 58}","{""SUPPORT"": 58}"
lexical_predicate,1,heldout,temporal_erased,1.25,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""SUPPORT"": 50}","{""SUPPORT"": 50}"
lexical_predicate,1,heldout,temporal_mismatch,1.25,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 50}","{""NOT_ENTITLED"": 50}"
lexical_predicate,2,calibration,frame_location_mismatch,1.5,13,0.6153846153846154,0.6153846153846154,5,5,0.38461538461538464,0.38461538461538464,0,0,"{""NOT_ENTITLED"": 8, ""SUPPORT"": 5}","{""NOT_ENTITLED"": 8, ""SUPPORT"": 5}"
lexical_predicate,2,calibration,frame_role_mismatch,1.5,8,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 8}","{""NOT_ENTITLED"": 8}"
lexical_predicate,2,calibration,predicate_mismatch,1.5,51,0.13725490196078433,0.9411764705882353,44,3,0.8627450980392157,0.058823529411764705,41,48,"{""NOT_ENTITLED"": 7, ""SUPPORT"": 44}","{""NOT_ENTITLED"": 48, ""SUPPORT"": 3}"
lexical_predicate,2,calibration,sufficiency_control,1.5,56,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 56}","{""NOT_ENTITLED"": 56}"
lexical_predicate,2,calibration,surface_control,1.5,42,0.9761904761904762,0.9761904761904762,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 1, ""SUPPORT"": 41}","{""NOT_ENTITLED"": 1, ""SUPPORT"": 41}"
lexical_predicate,2,calibration,temporal_erased,1.5,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""SUPPORT"": 50}","{""SUPPORT"": 50}"
lexical_predicate,2,calibration,temporal_mismatch,1.5,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 50}","{""NOT_ENTITLED"": 50}"
lexical_predicate,2,heldout,frame_location_mismatch,1.5,7,0.8571428571428571,0.8571428571428571,1,1,0.14285714285714285,0.14285714285714285,0,0,"{""NOT_ENTITLED"": 6, ""SUPPORT"": 1}","{""NOT_ENTITLED"": 6, ""SUPPORT"": 1}"
lexical_predicate,2,heldout,frame_role_mismatch,1.5,12,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 12}","{""NOT_ENTITLED"": 12}"
lexical_predicate,2,heldout,predicate_mismatch,1.5,49,0.24489795918367346,0.9795918367346939,37,1,0.7551020408163265,0.02040816326530612,36,48,"{""NOT_ENTITLED"": 12, ""SUPPORT"": 37}","{""NOT_ENTITLED"": 48, ""SUPPORT"": 1}"
lexical_predicate,2,heldout,sufficiency_control,1.5,44,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 44}","{""NOT_ENTITLED"": 44}"
lexical_predicate,2,heldout,surface_control,1.5,58,1.0,1.0,0,0,0.0,0.0,0,0,"{""SUPPORT"": 58}","{""SUPPORT"": 58}"
lexical_predicate,2,heldout,temporal_erased,1.5,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""SUPPORT"": 50}","{""SUPPORT"": 50}"
lexical_predicate,2,heldout,temporal_mismatch,1.5,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 50}","{""NOT_ENTITLED"": 50}"
