family,total,train,compatible,eligible_positive,ineligible,unresolved,eligible_positive_rate,dominant_reason_codes
entity_swap,300,240,0,0,150,0,0.0,"[""FRAME_LABEL_NOT_COMPATIBLE""]"
event_swap,300,240,0,0,150,0,0.0,"[""FRAME_LABEL_NOT_COMPATIBLE""]"
evidence_deletion,300,240,300,121,150,0,0.4033333333333333,"[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""INTERVENTION_CONTRACT_FAIL"",""NON_POLARITY_INTERVENTION_POLARITY_CHANGE""]"
evidence_truncation,300,240,300,121,150,0,0.4033333333333333,"[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""INTERVENTION_CONTRACT_FAIL"",""NON_POLARITY_INTERVENTION_POLARITY_CHANGE""]"
irrelevant_evidence,300,240,0,0,150,0,0.0,"[""FRAME_LABEL_NOT_COMPATIBLE""]"
location_swap,300,240,0,0,150,0,0.0,"[""FRAME_LABEL_NOT_COMPATIBLE""]"
none,300,240,300,121,150,0,0.4033333333333333,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]"
paraphrase,300,240,300,121,150,0,0.4033333333333333,"[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]"
polarity_flip,300,240,300,0,150,150,0.0,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL"",""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]"
predicate_swap,300,240,300,121,150,0,0.4033333333333333,"[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""INTERVENTION_CONTRACT_FAIL"",""NON_POLARITY_INTERVENTION_POLARITY_CHANGE""]"
role_swap,300,240,0,0,150,0,0.0,"[""FRAME_LABEL_NOT_COMPATIBLE""]"
title_name_swap,300,240,0,0,150,0,0.0,"[""FRAME_LABEL_NOT_COMPATIBLE""]"
