row_id,review_instance_id,item_role,stage176_cohort,intervention_type,integrity_status,grammar_valid,contract_exact_match,canonical_control_valid,schema_resolved,native_frame_label,native_frame_prediction,stage181_primary_stratum,final_diagnostic_class,pair_id,match_link_id,matched_source_row_id,anomaly_codes,grammar_invalid,multi_axis_contamination,ineffective_intervention,canonical_control_invalid
generated_fact_039__location_swap,R180-0022,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_039,M180-0028,generated_fact_271__location_swap,[],False,False,False,False
generated_fact_039__role_swap,R180-0015,control,none,role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_039,M180-0008,generated_fact_087__role_swap,[],False,False,False,False
generated_fact_039__title_name_swap,R180-0059,control,none,title_name_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_039,M180-0021,generated_fact_227__title_name_swap,[],False,False,False,False
generated_fact_045__none,R180-0010,control,none,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_045,M180-0002,generated_fact_055__none,[],False,False,False,False
generated_fact_055__location_swap,R180-0041,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_055,M180-0037,reef_protection__location_swap,[],False,False,False,False
generated_fact_073__location_swap,R180-0080,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_073,M180-0025,generated_fact_238__location_swap,[],False,False,False,False
generated_fact_075__location_swap,R180-0070,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_075,M180-0030,generated_fact_273__location_swap,[],False,False,False,False
generated_fact_075__paraphrase,R180-0042;R180-0044,control,none,paraphrase,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_075,M180-0034,language_program__paraphrase,[],False,False,False,False
generated_fact_080__title_name_swap,R180-0034,control,none,title_name_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_080,M180-0024,generated_fact_230__title_name_swap,[],False,False,False,False
generated_fact_083__none,R180-0073,control,none,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_083,M180-0039,satellite_launch__none,[],False,False,False,False
generated_fact_089__location_swap,R180-0060,control,none,location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,0,0,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_089,M180-0020,generated_fact_225__location_swap,[],False,False,False,False
generated_fact_089__none,R180-0058,control,none,none,CLEAN_SINGLE_AXIS_CONSTRUCTION,True,True,True,True,1,1,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,generated_fact_089,M180-0013,generated_fact_146__none,[],False,False,False,False
