index,record_id,gold,pred,error_type,claim_preview,evidence_preview
0,tals_vitaminc_validation_sample1000_validation_9543,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,Airbourne 's song Live It Up was selected as the official theme song for Extreme Rules in 2013 .,"In the movie The Lost Boys : The Tribe , a sequel to the original Lost Boys , the song `` Too Much , Too Young , Too Fast '' is played in the car as Chris and Nicole drive to their new house ."
1,tals_vitaminc_validation_sample1000_validation_62847,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The Cincinnati Kid is a boy .,He considers it the film that allowed him to transition from the lighter comedic films he had previously been making and take on more serious films and subjects .
2,tals_vitaminc_validation_sample1000_validation_61972,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Efraim Diveroli had a four-year sentence .,Diveroli was sentenced to four years in federal prison .
6,tals_vitaminc_validation_sample1000_validation_55992,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Recovery is an Eminem album .,Recovery is the seventh studio album by American rapper Eminem .
9,tals_vitaminc_validation_sample1000_validation_28252,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Fewer than 300 laboratory-confirmed cases of COVID-19 have been confirmed in China .,"China confirms sharp rise in cases of SARS-like virus across the country As of 21 January , the number of laboratory-confirmed cases stands at 303 , including 298 in China , two in Thailand , one in Japan , one in South Korea and one in Taiwan ."
11,tals_vitaminc_validation_sample1000_validation_33552,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,South Korea had more positive cases and a higher number of coronavirus-related deaths than Italy as of February 2020 .,"As of late February , Italy was hit harder than anywhere else in the EU by the outbreak , and is the country with the third-highest number of positive cases , as well as deaths , in the world , with China and Iran surpassing Italy ."
12,tals_vitaminc_validation_sample1000_validation_7531,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Raven Software was founded before 1990 .,Raven Software was founded in 1988 by brothers Brian and Steve Raffel .
14,tals_vitaminc_validation_sample1000_validation_23116,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"As reported by the Daily Mail , Phil Tufnell married Dawn .",Daily Mail Retrieved 10 June 2008 He is now married to Dawn .
16,tals_vitaminc_validation_sample1000_validation_55315,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Philomena is only a book .,"Philomena is a 2013 British drama film directed by Stephen Frears , based on the book The Lost Child of Philomena Lee by journalist Martin Sixsmith ."
18,tals_vitaminc_validation_sample1000_validation_23531,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"After 2015 , Richard Keogh had won 18 caps .","As of September 2013 , he has won 18 caps and scored once."
19,tals_vitaminc_validation_sample1000_validation_49256,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Harold Macmillan worked in sports .,"After his resignation , Macmillan lived out a long retirement as an elder sports coach ."
20,tals_vitaminc_validation_sample1000_validation_41341,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,`` Roar '' was nominated for the song of the Year .,Scared '' was nominated for Song of the Year and Best Pop Solo Performance at the 56th Annual Grammy Awards .
21,tals_vitaminc_validation_sample1000_validation_56563,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Roswell is exclusively a Turkish TV series .,"Roswell is an American science fiction television series developed , produced , and co-written by Jason Katims ."
22,tals_vitaminc_validation_sample1000_validation_46869,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Illumination Mac Guff animated the film Despicable Me 2 .,"Produced by Illumination Entertainment for Universal Pictures , and animated by Pixar , the film is directed by Pierre Coffin and Chris Renaud , and written by Cinco Paul and Ken Daurio ."
23,tals_vitaminc_validation_sample1000_validation_2441,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"Based on 19 critics , the film scored has 72 out of 100 .","`` On Metacritic , the film has a weighted average score of 72 out of 100 , based on 16 critics , indicating `` '' generally favorable reviews '' '' . ''"
25,tals_vitaminc_validation_sample1000_validation_1874,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,Fred Schneider was the lead vocalist of The B-52 's while Kate Pierson and Cindy Wilson were backing vocalists .,"The original line-up consisted of Fred Schneider ( vocals ) , Kate Pierson ( vocals , keyboards ) , Cindy Wilson ( vocals , percussion ) , Ricky Wilson ( lead guitar ) , and Keith Strickland ( drums , rhythm guitar , keyboards ) ."
26,tals_vitaminc_validation_sample1000_validation_50619,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,James Earl Jones was a voice actor in a movie .,"James Earl Jones is also known for his leading roles as Darth Vader in the Star Wars film series and Mufasa in Disney 's The Lion King Live-Action as well as many other films , stage , and television roles ."
28,tals_vitaminc_validation_sample1000_validation_50456,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Invasion literature is a film .,Invasion literature is an interactive film produced by Netflix .
31,tals_vitaminc_validation_sample1000_validation_40742,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Part of the plot of `` Miracle at St. Anna '' takes place in the winter of 1984 .,"The film was released on September 26 , 2008 , and is set during World War II , in fall of 1944 in Tuscany and in the winter of 1984 in New York City and Rome."
32,tals_vitaminc_validation_sample1000_validation_33469,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"Less than 44 COVID-19 cases were confirmed in Veneto , Italy by February 25 , 2020 .","As of 25 February , there were 45 confirmed cases in Veneto , 33 cases were found in the municipality of Vo ' , including the two fatalities."
33,tals_vitaminc_validation_sample1000_validation_44414,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Bones is solely a television pitch .,"Bones was pitched to the network , but was rejected and the idea has remained shelved ever since ."
35,tals_vitaminc_validation_sample1000_validation_6974,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"In the movie Dumb and Dumberer : When Harry Met Lloyd , the characters Harry and Lloyd head off to enjoy the rest of the day when they are approached by two girls .","As Harry and Lloyd head off to enjoy the rest of the day , two girls in a sports car come up to them and offer to bring them to a huge party ."
36,tals_vitaminc_validation_sample1000_validation_1143,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,London 's congestion charge is under 10 pounds .,"In central London , these vehicles are also exempt from the �8 daily London congestion charge ."
40,tals_vitaminc_validation_sample1000_validation_43378,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Aristotle spent time in Greece .,"Aristotle -LRB- -LSB- ˈærɪˌstɒtəl -RSB- Ἀριστοτέλης , -LSB- aristotélɛːs -RSB- , Aristotélēs ; 384 -- 322 BC -RRB- was an ancient Greek philosopher and scientist born in the city of Stagira , Chalkidice , on the northern periphery of Classical Greece ."
41,tals_vitaminc_validation_sample1000_validation_14304,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Shaun Cameron Wright-Phillips is a free agent .,Shaun Cameron Wright-Phillips ( born 25 October 1981 ) is an English footballer who plays as a winger and is currently training with New York Red Bulls after being released by Queens Park Rangers .
42,tals_vitaminc_validation_sample1000_validation_47658,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"Edmund H. North was born June 12 , 1911 .","Edmund Hall North - June 12 , 1911 to August 28 , 1990 - was an American screenwriter who shared an Academy Award for Best Original Screenplay with Francis Ford Coppola in 1970 for their script for Patton ."
43,tals_vitaminc_validation_sample1000_validation_29508,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"Less than 40,000 people have recovered from coronavirus in 2020 .","More than 39,000 people have recovered ."
45,tals_vitaminc_validation_sample1000_validation_15546,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The Predator scored below 38 % based on more than 100 reviews .,"On review aggregator website Rotten Tomatoes , the film holds an approval rating of 37 % based on 102 reviews , and an average rating of 5.2/10 ."
46,tals_vitaminc_validation_sample1000_validation_48401,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,A Floppy disk is a type of filter .,"A floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles ."
47,tals_vitaminc_validation_sample1000_validation_7767,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,"The Malaysian government 's Employee Provident Fund bought Battersea Power Station as reported on May 30 , 2012 , although they denied ever bidding for it .","On the 7th June 2012 , it was announced by Knight Frank  -- Battersea-Power-Station-0942.aspx/ that administrators Ernst & Young had entered into an exclusivity agreement with SP Setia and Sime Darby and are working towards a timely exchange and completion of "
49,tals_vitaminc_validation_sample1000_validation_16646,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,The film earned over $ 159 million by 18 March 2012 .,"As of March 18 , it has grossed $ 62,321,039 in US and Canada and $ 96,720,275 elsewhere biringing to a total of $ 159,041,314 worldwide ."
52,tals_vitaminc_validation_sample1000_validation_27295,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"More than three COVID-19 infections were found in Singapore and Malaysia before January 26 , 2020 .","On 25 January 2020 , the number of laboratory-confirmed cases stood at 1,799 , including 1,756 in Mainland China , six in Thailand , five in Hong Kong , four in Australia , three in France , three in Japan , three in Malaysia , three in Singapore , three in Ta"
53,tals_vitaminc_validation_sample1000_validation_44330,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Blue Jasmine has Cate Blanchett acting in it .,The film tells the story of a rich Manhattan socialite -LRB- played by Cate Blanchett -RRB- who falls on hard times and has to move into her working class sister 's -LRB- Sally Hawkins -RRB- apartment in San Francisco .
55,tals_vitaminc_validation_sample1000_validation_55257,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Philip Glass has written sixteen concertos .,"He has written numerous operas and musical theatre works , eleven symphonies , eleven concertos , seven string quartets and various other chamber music , and film scores ."
