row_id,item_role,stage176_cohort,intervention_type,native_frame_label,gold_final_label,match_link_id,matched_hard_row_id,match_level,independent_frame_judgment,gold_frame_assessment,intervention_validity,primary_semantic_phenomenon,diagnostic_failure_locus,recommended_data_action,reviewer_count,pass1_confidence_min,pass2_confidence_min,independent_gold_agreement
clinic_expansion__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0001,clinic_expansion__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
generated_fact_039__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0028,generated_fact_271__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_039__role_swap,control,none,role_swap,0,NOT_ENTITLED,M180-0008,generated_fact_087__role_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,role_relation,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_039__title_name_swap,control,none,title_name_swap,0,NOT_ENTITLED,M180-0021,generated_fact_227__title_name_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_045__none,control,none,none,1,SUPPORT,M180-0002,generated_fact_055__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_055__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0037,reef_protection__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_055__none,hard,harmful_regression,none,1,SUPPORT,M180-0002,generated_fact_055__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,1,5,4,True
generated_fact_073__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0025,generated_fact_238__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_075__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0030,generated_fact_273__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_075__paraphrase,control,none,paraphrase,1,SUPPORT,M180-0034,language_program__paraphrase,same_intervention_frame_final,compatible,gold_consistent,clean_single_axis_edit,lexical_or_surface_artifact,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_078__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0003,generated_fact_078__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
generated_fact_078__polarity_flip,control,none,polarity_flip,1,REFUTE,M180-0033,generated_fact_300__polarity_flip,same_intervention_frame,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,4,5,True
generated_fact_080__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0004,generated_fact_080__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
generated_fact_080__title_name_swap,control,none,title_name_swap,0,NOT_ENTITLED,M180-0024,generated_fact_230__title_name_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_083__none,control,none,none,1,SUPPORT,M180-0039,satellite_launch__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_083__role_swap,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0005,generated_fact_083__role_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
generated_fact_086__entity_swap,hard,beneficial_correction,entity_swap,0,NOT_ENTITLED,M180-0006,generated_fact_086__entity_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,entity_identity,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
generated_fact_086__none,hard,harmful_regression,none,1,SUPPORT,M180-0007,generated_fact_086__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,1,5,4,True
generated_fact_087__role_swap,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0008,generated_fact_087__role_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
