seed,run,group,n,final_accuracy,final_macro_f1,false_entitled_rate,false_not_entitled_rate,prediction_distribution,ood_eval_state,ood_eval_epoch,ood_flag_source,train_flag_source,false_entitled_count,false_not_entitled_count
1,v5_bestdev,__overall__,540,0.5351851582527161,0.24360070550234,,,"{'NOT_ENTITLED': 459, 'REFUTE': 79, 'SUPPORT': 2}",best_dev,2,stage15_probe_type,,,
1,v5_bestdev,frame_location_mismatch,20,0.8500000238418579,0.3063063063063063,0.15,,"{'NOT_ENTITLED': 17, 'REFUTE': 3}",best_dev,2,stage15_probe_type,,3.0,0.0
1,v5_bestdev,frame_role_mismatch,20,0.8500000238418579,0.3063063063063063,0.15,,"{'NOT_ENTITLED': 17, 'REFUTE': 3}",best_dev,2,stage15_probe_type,,3.0,0.0
1,v5_bestdev,predicate_mismatch,100,0.800000011920929,0.29629629629629634,0.2,,"{'NOT_ENTITLED': 80, 'REFUTE': 19, 'SUPPORT': 1}",best_dev,2,stage15_probe_type,,20.0,0.0
1,v5_bestdev,sufficiency_control,100,0.8999999761581421,0.31578947368421056,0.1,,"{'NOT_ENTITLED': 90, 'REFUTE': 10}",best_dev,2,stage15_probe_type,,10.0,0.0
1,v5_bestdev,surface_control,100,0.009999999776482582,0.006600660066006601,,0.88,"{'NOT_ENTITLED': 88, 'REFUTE': 11, 'SUPPORT': 1}",best_dev,2,stage15_probe_type,,0.0,88.0
1,v5_bestdev,temporal_erased,100,0.0,0.0,,0.83,"{'NOT_ENTITLED': 83, 'REFUTE': 17}",best_dev,2,stage15_probe_type,,0.0,83.0
1,v5_bestdev,temporal_mismatch,100,0.8399999737739563,0.30434782608695654,0.16,,"{'NOT_ENTITLED': 84, 'REFUTE': 16}",best_dev,2,stage15_probe_type,,16.0,0.0
1,v6b_bestdev,__overall__,540,0.5981481671333313,0.28036660929771334,,,"{'NOT_ENTITLED': 469, 'REFUTE': 62, 'SUPPORT': 9}",best_dev,2,stage15_probe_type,controlled_heuristic,,
1,v6b_bestdev,frame_location_mismatch,20,0.800000011920929,0.29629629629629634,0.2,,"{'NOT_ENTITLED': 16, 'REFUTE': 4}",best_dev,2,stage15_probe_type,controlled_heuristic,4.0,0.0
1,v6b_bestdev,frame_role_mismatch,20,0.6499999761581421,0.26262626262626265,0.35,,"{'NOT_ENTITLED': 13, 'REFUTE': 4, 'SUPPORT': 3}",best_dev,2,stage15_probe_type,controlled_heuristic,7.0,0.0
