pair_id,canonical_none_row_id,paraphrase_row_id,polarity_flip_row_id,canonical_final_label,paraphrase_final_label,polarity_flip_final_label,canonical_claim,paraphrase_claim,polarity_flip_claim,canonical_evidence,paraphrase_evidence,polarity_flip_evidence,canonical_grammar_status,paraphrase_grammar_status,polarity_flip_grammar_status,canonical_reason_codes,paraphrase_reason_codes,polarity_flip_reason_codes,canonical_claim_text_diff_summary,paraphrase_claim_text_diff_summary,polarity_flip_claim_text_diff_summary,canonical_evidence_text_diff_summary,paraphrase_evidence_text_diff_summary,polarity_flip_evidence_text_diff_summary,automatic_root_cause_class,automatic_evidence,human_canonical_semantics,human_paraphrase_semantics,human_polarity_flip_semantics,human_grammar_validity,human_authority_decision,human_notes,source_record_sha256,reviewer_id,review_protocol_version,reviewed_at_utc,authority_recorded_at_utc,human_review_time_provenance,record_origin,review_method,cohort_confirmation_id
generated_fact_152,generated_fact_152__none,generated_fact_152__paraphrase,generated_fact_152__polarity_flip,REFUTE,REFUTE,SUPPORT,"Dr Bianca Flores, the research lead, restored the Meridian initiative 152 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, restored the Meridian initiative 152 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, restored the Meridian initiative 152 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, did not restored the Meridian initiative 152 in Beacon Harbor during March.","During March in Beacon Harbor, Dr Bianca Flores acting as research lead did not restored the Meridian initiative 152.","Dr Bianca Flores, the research lead, restored the Meridian initiative 152 in Beacon Harbor during March.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,b4127d435bb063fc8dca2213a753d23382f528014703736bd0d4c56ade836154,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_154,generated_fact_154__none,generated_fact_154__paraphrase,generated_fact_154__polarity_flip,REFUTE,REFUTE,SUPPORT,"Minister Daria Volkova, the operations chief, delivered the Meridian initiative 154 in Delta Bay during July.","Minister Daria Volkova, the operations chief, delivered the Meridian initiative 154 in Delta Bay during July.","Minister Daria Volkova, the operations chief, delivered the Meridian initiative 154 in Delta Bay during July.","Minister Daria Volkova, the operations chief, did not delivered the Meridian initiative 154 in Delta Bay during July.","During July in Delta Bay, Minister Daria Volkova acting as operations chief did not delivered the Meridian initiative 154.","Minister Daria Volkova, the operations chief, delivered the Meridian initiative 154 in Delta Bay during July.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,4b3f63c14bae2b91fbaac57eba3dd867aa44a717ec003499d573601be3067556,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_156,generated_fact_156__none,generated_fact_156__paraphrase,generated_fact_156__polarity_flip,REFUTE,REFUTE,SUPPORT,"Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 156 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 156 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 156 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, did not selected the Meridian initiative 156 in Falcon Ridge during November.","During November in Falcon Ridge, Coordinator Farah Qureshi acting as technical adviser did not selected the Meridian initiative 156.","Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 156 in Falcon Ridge during November.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,3d55b69278b3a5b6325c63aa0b371439fec933458a6c95ef326638ad1c314841,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_157,generated_fact_157__none,generated_fact_157__paraphrase,generated_fact_157__polarity_flip,REFUTE,REFUTE,SUPPORT,"Director Gabriel Costa, the program director, approved the Meridian initiative 157 in Granite Coast during January.","Director Gabriel Costa, the program director, approved the Meridian initiative 157 in Granite Coast during January.","Director Gabriel Costa, the program director, approved the Meridian initiative 157 in Granite Coast during January.","Director Gabriel Costa, the program director, did not approved the Meridian initiative 157 in Granite Coast during January.","During January in Granite Coast, Director Gabriel Costa acting as program director did not approved the Meridian initiative 157.","Director Gabriel Costa, the program director, approved the Meridian initiative 157 in Granite Coast during January.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,fee27d312889a6ad005214ac70907fd746ab3969c5733b188e4580e66745f32a,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_159,generated_fact_159__none,generated_fact_159__paraphrase,generated_fact_159__polarity_flip,REFUTE,REFUTE,SUPPORT,"Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 159 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 159 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 159 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, did not restored the Meridian initiative 159 in Aurora City during May.","During May in Aurora City, Professor Ismail Kaya acting as regional coordinator did not restored the Meridian initiative 159.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 159 in Aurora City during May.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,db738464898b1860b64931154da2d7ddcb80bcdebf62e2551773b38981bb73c9,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_160,generated_fact_160__none,generated_fact_160__paraphrase,generated_fact_160__polarity_flip,REFUTE,REFUTE,SUPPORT,"Minister Julia Novak, the operations chief, published the Meridian initiative 160 in Beacon Harbor during July.","Minister Julia Novak, the operations chief, published the Meridian initiative 160 in Beacon Harbor during July.","Minister Julia Novak, the operations chief, published the Meridian initiative 160 in Beacon Harbor during July.","Minister Julia Novak, the operations chief, did not published the Meridian initiative 160 in Beacon Harbor during July.","During July in Beacon Harbor, Minister Julia Novak acting as operations chief did not published the Meridian initiative 160.","Minister Julia Novak, the operations chief, published the Meridian initiative 160 in Beacon Harbor during July.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,2d7ef7d217630e81320a662a6cdbf2499a994d071a0df542d721d33cce342457,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_162,generated_fact_162__none,generated_fact_162__paraphrase,generated_fact_162__polarity_flip,REFUTE,REFUTE,SUPPORT,"Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 162 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 162 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 162 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, did not opened the Meridian initiative 162 in Delta Bay during November.","During November in Delta Bay, Coordinator Lucia Romano acting as technical adviser did not opened the Meridian initiative 162.","Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 162 in Delta Bay during November.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,4841b22956220c78af3e4ca1340738a017adcdd646c9cca35755e2406e7bc318,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_163,generated_fact_163__none,generated_fact_163__paraphrase,generated_fact_163__polarity_flip,REFUTE,REFUTE,SUPPORT,"Director Avery Stone, the program director, selected the Meridian initiative 163 in Elm Valley during January.","Director Avery Stone, the program director, selected the Meridian initiative 163 in Elm Valley during January.","Director Avery Stone, the program director, selected the Meridian initiative 163 in Elm Valley during January.","Director Avery Stone, the program director, did not selected the Meridian initiative 163 in Elm Valley during January.","During January in Elm Valley, Director Avery Stone acting as program director did not selected the Meridian initiative 163.","Director Avery Stone, the program director, selected the Meridian initiative 163 in Elm Valley during January.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,b2ceaf7fed32d436ebbd9875ffe2d31f61f684696e0f4f80799155fbbd61821f,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_164,generated_fact_164__none,generated_fact_164__paraphrase,generated_fact_164__polarity_flip,REFUTE,REFUTE,SUPPORT,"Dr Bianca Flores, the research lead, approved the Meridian initiative 164 in Falcon Ridge during March.","Dr Bianca Flores, the research lead, approved the Meridian initiative 164 in Falcon Ridge during March.","Dr Bianca Flores, the research lead, approved the Meridian initiative 164 in Falcon Ridge during March.","Dr Bianca Flores, the research lead, did not approved the Meridian initiative 164 in Falcon Ridge during March.","During March in Falcon Ridge, Dr Bianca Flores acting as research lead did not approved the Meridian initiative 164.","Dr Bianca Flores, the research lead, approved the Meridian initiative 164 in Falcon Ridge during March.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,18319508523b37eb21a7909861828a266f986347de19e4fd1595be50c0ac7646,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
generated_fact_167,generated_fact_167__none,generated_fact_167__paraphrase,generated_fact_167__polarity_flip,REFUTE,REFUTE,SUPPORT,"Engineer Ethan Brooks, the project curator, published the Meridian initiative 167 in Aurora City during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 167 in Aurora City during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 167 in Aurora City during September.","Engineer Ethan Brooks, the project curator, did not published the Meridian initiative 167 in Aurora City during September.","During September in Aurora City, Engineer Ethan Brooks acting as project curator did not published the Meridian initiative 167.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 167 in Aurora City during September.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,VALID,VALID,VALID,MULTI_MEMBER_DEFECT,CANONICAL_REGENERATION_REQUIRED,,6d94b11cdf5652d5bfbf35de5e282b5630ae1f8b3fead045c0f98e62a19fdbfb,taehyun_koo,P3W6F2_HYBRID_HUMAN_REVIEW_V2,2026-08-15T10:05:17Z,2026-08-15T10:05:17Z,NOT_CAPTURED_IN_XLSX,XLSX_CONFIRMED_IMPORT,INDIVIDUAL_TRIPLE_REVIEW,
