source_row_id,item_role,primary_stratum,secondary_tags,stage176_cohort,intervention_family,native_frame_label,native_frame_prediction,native_frame_correct,independent_frame_judgment,pass1_confidence,gold_frame_assessment,intervention_validity,primary_semantic_phenomenon,diagnostic_failure_locus,recommended_data_action,pass2_confidence,repeat_consistency,matched_control_source_id,matched_control_primary_stratum,matched_control_taxonomy,stage179_diagnostic_class,stage179_centroid_prediction,stage179_centroid_correct,stage179_frame_logit,stage179_head_direction_projection,data_priority_score,model_priority_score,classification_reason
clinic_expansion__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,exact,satellite_launch__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.5234662890434265,-0.9529699087142944,0,7,predeclared_stratum_conditions_met
generated_fact_039__location_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_039__role_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,role_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,role_relation,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_039__title_name_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,title_name_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_045__none,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,none,1,1,True,compatible,5,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_055__location_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_055__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_REPRESENTATION_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",harmful_regression,none,1,0,False,compatible,5,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,exact,generated_fact_045__none,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""compatible"", ""intervention_validity"": ""canonical_control"", ""primary_semantic_phenomenon"": ""other"", ""recommended_data_action"": ""keep_unchanged""}",representation_failure,0,False,-0.6304675936698914,-1.1362354755401611,0,7,predeclared_stratum_conditions_met
generated_fact_073__location_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_075__location_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_075__paraphrase,control,CLEAN_CONTROL_REFERENCE,"[""DATA_GRAMMAR_ARTIFACT"", ""PROVISIONAL_AI_REVIEW""]",none,paraphrase,1,1,True,compatible,5,gold_consistent,clean_single_axis_edit,lexical_or_surface_artifact,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_078__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_120__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.44093891978263855,-0.8116216659545898,0,7,predeclared_stratum_conditions_met
generated_fact_078__polarity_flip,control,CONTROL_ANOMALY,"[""CONTROL_CONTAMINATION"", ""DATA_GRAMMAR_ARTIFACT"", ""DATA_POLARITY_LEAK"", ""HARD_POLARITY"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",none,polarity_flip,1,1,True,compatible,4,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,exact,,,,control_selected_native_correct,,,,,0,0,control_has_data_model_or_semantic_anomaly
generated_fact_080__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_128__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.21333234012126923,-0.4217902421951294,0,7,predeclared_stratum_conditions_met
generated_fact_080__title_name_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,title_name_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_083__none,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,none,1,1,True,compatible,5,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_083__role_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,role_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_151__role_swap,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""role_relation"", ""recommended_data_action"": ""redesign_intervention""}",both_correct,0,True,-0.11455225944519043,-0.2526053786277771,0,5,predeclared_stratum_conditions_met
generated_fact_086__entity_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,entity_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,entity_identity,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_158__entity_swap,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""entity_identity"", ""recommended_data_action"": ""redesign_intervention""}",both_correct,0,True,-0.32142409682273865,-0.6069236993789673,0,4,predeclared_stratum_conditions_met
