source_row_id,item_role,primary_stratum,secondary_tags,stage176_cohort,intervention_family,native_frame_label,native_frame_prediction,native_frame_correct,independent_frame_judgment,pass1_confidence,gold_frame_assessment,intervention_validity,primary_semantic_phenomenon,diagnostic_failure_locus,recommended_data_action,pass2_confidence,repeat_consistency,matched_control_source_id,matched_control_primary_stratum,matched_control_taxonomy,stage179_diagnostic_class,stage179_centroid_prediction,stage179_centroid_correct,stage179_frame_logit,stage179_head_direction_projection,data_priority_score,model_priority_score,classification_reason
generated_fact_153__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_161__location_swap,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""redesign_intervention""}",both_correct,0,True,-0.4697588384151459,-0.8609828352928162,7,3,predeclared_stratum_conditions_met
generated_fact_158__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_146__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.2684973478317261,-0.5162737965583801,6,5,predeclared_stratum_conditions_met
generated_fact_158__role_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,role_swap,0,0,True,incompatible,5,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_110__role_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""role_relation"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.6364546418190002,-1.1464896202087402,6,5,predeclared_stratum_conditions_met
generated_fact_158__title_name_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,title_name_swap,0,0,True,incompatible,5,gold_consistent,unnatural_or_broken_text,title_name_identity,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_110__title_name_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""title_name_identity"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.5825233459472656,-1.05411958694458,6,5,predeclared_stratum_conditions_met
generated_fact_176__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_172__location_swap,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""redesign_intervention""}",both_correct,0,True,-0.3701755702495575,-0.6904221773147583,7,3,predeclared_stratum_conditions_met
generated_fact_195__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""DATA_POLARITY_LEAK"", ""HARD_POLARITY"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",harmful_regression,polarity_flip,1,0,False,compatible,5,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_227__polarity_flip,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""compatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""polarity"", ""recommended_data_action"": ""redesign_intervention""}",representation_failure,0,False,-0.5529495477676392,-1.003467082977295,7,3,predeclared_stratum_conditions_met
generated_fact_225__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_089__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.45049211382865906,-0.8279837965965271,6,5,predeclared_stratum_conditions_met
generated_fact_227__title_name_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,title_name_swap,0,0,True,incompatible,5,gold_consistent,unnatural_or_broken_text,title_name_identity,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_039__title_name_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""title_name_identity"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.3468741476535797,-0.6505128145217896,6,5,predeclared_stratum_conditions_met
generated_fact_230__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""DATA_POLARITY_LEAK"", ""HARD_POLARITY"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",harmful_regression,polarity_flip,1,0,False,compatible,5,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_257__polarity_flip,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""compatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""polarity"", ""recommended_data_action"": ""redesign_intervention""}",representation_failure,0,False,-0.455825537443161,-0.83711838722229,7,3,predeclared_stratum_conditions_met
generated_fact_230__role_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,"[""DATA_GRAMMAR_ARTIFACT"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,role_swap,0,0,True,incompatible,5,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,exact,generated_fact_176__role_swap,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""role_relation"", ""recommended_data_action"": ""redesign_intervention""}",both_correct,0,True,-0.42886024713516235,-0.790934145450592,7,3,predeclared_stratum_conditions_met
