contract,status,detail
p7_exact_ten_file_closure,PASS,exact closure
explicit_input_files_exist,PASS,all present
p7_decision_closure,PASS,STAGE196B2B6P7_FULL_TRAINABLE_PATH_REPLAY_READY
p7_zero_blockers,PASS,[]
p7_zero_failed_contracts,PASS,P7 contract closure
p7_source_commit_declared,PASS,a34b703d8753b6cc9f789a23e182b2b23353ea8e
p7_source_commit_exists,PASS,git cat-file commit exists
p7_source_commit_is_ancestor_of_current,PASS,P7 commit is ancestor of current
current_commit_identity,PASS,52b1f82863aaebd1f13628c3baa96edbb8a8a7d6
p7_selected_boundary_closure,PASS,"{""checks"": {""candidate_action_dependency_none"": true, ""producer_trainability_is_frozen"": true, ""producing_module_is_mamba_or_frozen_cache"": true, ""serialization_boundary_in_memory_encoder_hidden_states"": true, ""state_name_contains_encoder_hidden_states"": true, ""tensor_shape_contract_is_backbone_hidden"": true}, ""selected_boundary"": {""candidate_action_dependency"": ""none"", ""detach_boundary"": ""cached under no_grad; valid because producer is frozen"", ""native_loss_dependency"": ""source for every epistemic head"", ""producer_trainability"": ""frozen in authoritative configuration"", ""producing_module"": ""model.mamba or frozen-state cache"", ""replay_feasibility"": ""EARLIEST_SAFE_SHARED_REPLAY_BOUNDARY"", ""serialization_boundary"": ""in-memory inputs['encoder_hidden_states']; not diagnostic JSON"", ""source_file"": ""/kaggle/working/ContraMamba/src/contramamba/modeling_v6b_minimal.py"", ""source_line_range"": ""300-311"", ""state_name"": ""Mamba hidden state / encoder_hidden_states"", ""tensor_shape_contract"": ""[B,T,H_backbone]""}}"
p7_row_action_authority_provenance_unique,PASS,matches=1
p7_row_action_authority_file_exists,PASS,/kaggle/working/ContraMamba/reports/stage196b2b6p2_action_conditional_composer_margin_export_20260723_142312/stage196b2b6p2_candidate_action_composer_scores.csv
p7_row_action_authority_sha256,PASS,ffe460f7c10d000c25d02132331ed19ce3f3f3105096eaa93d590e9a78af4d7c
p7_row_action_authority_row_count,PASS,observed=6480 recorded=6480 unique=6480
p7_row_action_authority_schema,PASS,P2_ROW_SPECIFIC_ACTION_AUTHORITY schema valid
p7_row_action_mapping_uniqueness,PASS,unique row-specific mappings
p7_row_action_population_closure,PASS,mapping=6480 seed183=2160
p7_aggregate_semantic_trace_schema,PASS,"rows=3 masks=['00100000000000', '01000000000000', '10000000000000'] missing=[]"
p7_aggregate_semantic_trace_matches_row_authority,PASS,P7_AGGREGATE_SEMANTIC_AUTHORITY matches P2 row authority
p7_stochastic_policy_authority,PASS,matched RNG/dropout policy
p6_decision_closure,PASS,STAGE196B2B6P6_FULL_COUNTERFACTUAL_FORWARD_REQUIRED
p5_decision_closure,PASS,STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED
mamba_130m_identity,PASS,mamba/state-spaces/mamba-130m-hf
cuda_device,PASS,cuda
main_clean_data_identity,PASS,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640
checkpoint_joint_provenance,PASS,"{""gradient_mode"": ""joint"", ""path"": ""/kaggle/working/stage196b2b6p6_seed183_checkpoint_recovery/seed183_joint/trajectory/selected_checkpoint.pt"", ""reconstructed_provenance"": true, ""selected_epoch"": 20, ""sha256"": ""0fdc97c0b34272579656d202b283ed0e0431808c41b75d624dfa989e7652e3ea"", ""size_bytes"": 518269073, ""source_commit"": ""fa16787efa84bb15d832b6d9382fafd77016c4e2""}"
checkpoint_frame_local_only_provenance,PASS,"{""gradient_mode"": ""frame_local_only"", ""path"": ""/kaggle/working/stage196b2b6p6_seed183_checkpoint_recovery/seed183_frame_local_only/trajectory/selected_checkpoint.pt"", ""reconstructed_provenance"": true, ""selected_epoch"": 20, ""sha256"": ""7ef271ab68d859cef90a4a3578bb6cae64ad1533ac040d5e1c94f41f3478c70a"", ""size_bytes"": 518269073, ""source_commit"": ""fa16787efa84bb15d832b6d9382fafd77016c4e2""}"
time_swap_exclusion,PASS,main rows
exact_three_candidate_masks,PASS,"('00100000000000', '01000000000000', '10000000000000')"
frozen_encoder_policy,PASS,both arms
probe_batch_row_action_closure,PASS,P2_ROW_SPECIFIC_ACTION_AUTHORITY resolved=12
