row_id,item_role,stage181_primary_stratum,deterministic_integrity_class,agreement_category,roadmap_correction_required
clinic_expansion__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_039__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_039__role_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_039__title_name_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_045__none,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_055__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_055__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,AGREES,False
generated_fact_073__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_075__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_075__paraphrase,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_078__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_078__polarity_flip,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_080__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_080__title_name_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_083__none,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_083__role_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_086__entity_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_086__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,AGREES,False
generated_fact_087__role_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_089__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_089__none,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_090__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_090__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,AGREES,False
generated_fact_110__entity_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_110__role_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_110__title_name_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_115__none,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_118__none,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_120__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_128__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_135__role_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_138__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_146__event_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_146__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
generated_fact_146__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,AGREES,False
