scope,run,gate,required,observed,passed,blocking_reason
source,,commit_format,lowercase 40-hex,5fc8e7aa2f8a008f1ec0808866a963912101ab51,True,
source,,commit_equals_head,5fc8e7aa2f8a008f1ec0808866a963912101ab51,5fc8e7aa2f8a008f1ec0808866a963912101ab51,True,
source,,source_identity:reports/stage196a_persistent_support_boundary_localization_spec.md,"{""bytes_equal"":true,""staged_clean"":true,""unstaged_clean"":true}","{""bytes_equal"":true,""sha256"":""72cea9a4bc96295f6460f9464b9473b36eca423b6bb323cc9ec1f1100fa71db3"",""staged_clean"":true,""unstaged_clean"":true}",True,
source,,source_identity:scripts/analyze_stage196a_persistent_support_boundary.py,"{""bytes_equal"":true,""staged_clean"":true,""unstaged_clean"":true}","{""bytes_equal"":true,""sha256"":""b859df6311f3fe8d55feb4796733e25a9add8cf2c0291d6ffd8157131730ecbd"",""staged_clean"":true,""unstaged_clean"":true}",True,
stage195c,,exact_nine_file_closure,"[""stage195c_paired_seed_arm_delta.csv"",""stage195c_parameter_swa_causal_report.json"",""stage195c_parameter_swa_causal_report.md"",""stage195c_precommitted_decision_gate.csv"",""stage195c_row_transition.jsonl"",""stage195c_run_summary.csv"",""stage195c_source_closure.csv"",""stage195c_support_mechanism_summary.csv"",""stage195c_temporal_outlier_transition.csv""]","[""stage195c_paired_seed_arm_delta.csv"",""stage195c_parameter_swa_causal_report.json"",""stage195c_parameter_swa_causal_report.md"",""stage195c_precommitted_decision_gate.csv"",""stage195c_row_transition.jsonl"",""stage195c_run_summary.csv"",""stage195c_source_closure.csv"",""stage195c_support_mechanism_summary.csv"",""stage195c_temporal_outlier_transition.csv""]",True,
stage195c,,report_closure,"{""blocking_reasons"":[],""decision"":""STAGE195C_PARAMETER_SWA_MIXED_OR_INCONCLUSIVE"",""ordered_runs"":[""seed180_baseline"",""seed180_intervention"",""seed181_baseline"",""seed181_intervention"",""seed182_baseline"",""seed182_intervention""],""row_transition_count"":4320,""runnable"":true,""stage195c_runtime_repository_commit"":""b258328d4984160429217d18127b924ec0561415""}","{""blocking_reasons"":[],""decision"":""STAGE195C_PARAMETER_SWA_MIXED_OR_INCONCLUSIVE"",""ordered_runs"":[""seed180_baseline"",""seed180_intervention"",""seed181_baseline"",""seed181_intervention"",""seed182_baseline"",""seed182_intervention""],""row_transition_count"":4320,""runnable"":true,""stage195c_runtime_repository_commit"":""b258328d4984160429217d18127b924ec0561415""}",True,
stage195c,,all_source_gates_pass,True,True,True,
stage195c,,precommitted_decision_gate,STAGE195C_PARAMETER_SWA_MIXED_OR_INCONCLUSIVE,STAGE195C_PARAMETER_SWA_MIXED_OR_INCONCLUSIVE,True,
stage195c,,six_run_order_and_cardinality,"[""seed180_baseline"",""seed180_intervention"",""seed181_baseline"",""seed181_intervention"",""seed182_baseline"",""seed182_intervention""]","[""seed180_baseline"",""seed180_intervention"",""seed181_baseline"",""seed181_intervention"",""seed182_baseline"",""seed182_intervention""]",True,
stage195c,,persistent_counts,"{""seed180_baseline"":22,""seed180_intervention"":14,""seed181_baseline"":30,""seed181_intervention"":20,""seed182_baseline"":18,""seed182_intervention"":23}","{""seed180_baseline"":22,""seed180_intervention"":14,""seed181_baseline"":30,""seed181_intervention"":20,""seed182_baseline"":18,""seed182_intervention"":23}",True,
stage195c,,persistent_swa_rescue_zero,0,{},True,
run,seed180_baseline,required_scalar_source_files,[],[],True,
run,seed180_baseline,selected_scalar_epoch_in_tail3,"[18,19,20]",20,True,
run,seed180_baseline,selected_trajectory_file_present,True,True,True,
run,seed180_baseline,selected_trajectory_schema,True,True,True,
run,seed180_baseline,selected_scalar_prediction_alignment,True,True,True,
run,seed180_baseline,epoch20_trajectory_stage195c_alignment,True,True,True,
run,seed180_baseline,scalar_schema_identity_alignment,True,True,True,
run,seed180_intervention,required_scalar_source_files,[],[],True,
run,seed180_intervention,selected_scalar_epoch_in_tail3,"[18,19,20]",20,True,
run,seed180_intervention,selected_trajectory_file_present,True,True,True,
run,seed180_intervention,selected_trajectory_schema,True,True,True,
run,seed180_intervention,selected_scalar_prediction_alignment,True,True,True,
run,seed180_intervention,epoch20_trajectory_stage195c_alignment,True,True,True,
run,seed180_intervention,scalar_schema_identity_alignment,True,True,True,
run,seed181_baseline,required_scalar_source_files,[],[],True,
run,seed181_baseline,selected_scalar_epoch_in_tail3,"[18,19,20]",19,True,
