review_instance_id,dataset_native_frame_label,intervention_type,canonical_none_claim,canonical_none_evidence,stage176_cohort,native_frame_prediction,native_frame_logit,native_frame_probability,final_prediction,gold_final_label,frame_head_projection,representation_movement_from_none,stage179_centroid_prediction,stage179_centroid_correct,matched_control_review_instance_id,matched_control_match_level,matched_control_claim,matched_control_evidence,matched_control_native_frame_label,matched_control_final_gold_label,matched_control_frame_prediction,matched_control_frame_logit,matched_control_frame_prob
R180-0001,0,entity_swap,"Dr Bianca Flores, the research lead, opened the Meridian initiative 176 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, did not opened the Meridian initiative 176 in Beacon Harbor during March.",none,0,-0.8275594115257263,0.3041613698005676,,NOT_ENTITLED,-1.4738028049468994,10.806035041809082,0,True,,,,,,,,,
R180-0002,0,event_swap,"Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.",beneficial_correction,0,-0.24920271337032318,0.4380197823047638,SUPPORT,NOT_ENTITLED,-0.4832267761230469,1.47908616065979,0,True,R180-0061,same_intervention_frame_final,"Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Horizon initiative 146 in Delta Bay during March.",0,NOT_ENTITLED,0,-1.0056065320968628,0.26784053444862366
R180-0003,0,role_swap,"Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, did not published the Meridian initiative 230 in Horizon Plains during March.",beneficial_correction,0,-0.42886024713516235,0.3943985104560852,SUPPORT,NOT_ENTITLED,-0.790934145450592,10.338220596313477,0,True,R180-0085,same_intervention_frame_final,"Dr Bianca Flores, the research lead, opened the Meridian initiative 176 in Beacon Harbor during March.","Dr Bianca Flores, the project curator, opened the Meridian initiative 176 in Beacon Harbor during March.",0,NOT_ENTITLED,0,-0.32469800114631653,0.4195312559604645
R180-0004,0,location_swap,"Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Beacon Harbor during March.",none,0,-0.11457407474517822,0.4713878035545349,,NOT_ENTITLED,-0.2526426911354065,0.9387524724006653,0,True,,,,,,,,,
R180-0005,0,location_swap,"Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.",beneficial_correction,1,0.09144534170627594,0.5228453874588013,SUPPORT,NOT_ENTITLED,0.10021552443504333,1.572277307510376,0,True,R180-0041,same_intervention_frame_final,"Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Delta Bay during January.",0,NOT_ENTITLED,0,-0.7257060408592224,0.3261377215385437
R180-0006,1,polarity_flip,"Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 240 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, did not selected the Meridian initiative 240 in Beacon Harbor during November.",harmful_regression,0,-0.23256896436214447,0.44211840629577637,SUPPORT,SUPPORT,-0.4547373950481415,10.406290054321289,0,False,R180-0069,same_intervention_frame_final,"Minister Daria Volkova, the operations chief, restored the Meridian initiative 166 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, restored the Meridian initiative 166 in Horizon Plains during July.",1,SUPPORT,1,0.023978974670171738,0.505994439125061
R180-0007,0,role_swap,"Professor Chidi Eze, the regional coordinator, launched the Meridian initiative 165 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, did not launched the Meridian initiative 165 in Granite Coast during May.",none,0,-0.21885369718074799,0.44550397992134094,,NOT_ENTITLED,-0.43124669790267944,9.466289520263672,0,True,,,,,,,,,
R180-0008,1,none,"Director Avery Stone, the program director, approved the Meridian initiative 115 in Elm Valley during January.","Director Avery Stone, the program director, approved the Meridian initiative 115 in Elm Valley during January.",none,1,0.09749273955821991,0.5243539214134216,,SUPPORT,0.1105731949210167,0.0,0,False,,,,,,,,,
R180-0009,0,location_swap,"Coordinator Farah Qureshi, the technical adviser, opened the Meridian initiative 120 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, opened the Meridian initiative 120 in Beacon Harbor during November.",none,0,-0.47024932503700256,0.38455721735954285,,NOT_ENTITLED,-0.8618230819702148,1.1587028503417969,0,True,,,,,,,,,
R180-0010,1,none,"Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 45 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 45 in Granite Coast during May.",none,1,0.0868358463048935,0.5216953158378601,,SUPPORT,0.09232072532176971,0.0,0,False,,,,,,,,,
R180-0011,0,role_swap,"Professor Ismail Kaya, the regional coordinator, approved the Meridian initiative 87 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, approved the Meridian initiative 87 in Aurora City during May.",beneficial_correction,0,-0.6100422739982605,0.3520495593547821,SUPPORT,NOT_ENTITLED,-1.1012521982192993,2.104001760482788,0,True,R180-0015,same_intervention_frame_final,"Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the technical adviser, launched the Meridian initiative 39 in Aurora City during May.",0,NOT_ENTITLED,0,-1.1838568449020386,0.23435942828655243
R180-0012,1,polarity_flip,"Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, did not published the Meridian initiative 230 in Horizon Plains during March.",harmful_regression,0,-0.455825537443161,0.38797658681869507,SUPPORT,SUPPORT,-0.83711838722229,10.244771003723145,0,False,R180-0066,same_intervention_frame_final,"Engineer Kwame Adu, the project curator, restored the Meridian initiative 257 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 257 in Cedar Point during September.",1,SUPPORT,1,0.3320312201976776,0.5822535157203674
R180-0013,0,location_swap,"Minister Daria Volkova, the operations chief, delivered the Meridian initiative 238 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, did not delivered the Meridian initiative 238 in Horizon Plains during July.",beneficial_correction,0,-0.22242246568202972,0.44462254643440247,SUPPORT,NOT_ENTITLED,-0.4373593330383301,9.789525032043457,0,True,R180-0080,same_intervention_frame_final,"Director Gabriel Costa, the program director, approved the Meridian initiative 73 in Cedar Point during January.","Director Gabriel Costa, the program director, approved the Meridian initiative 73 in Falcon Ridge during January.",0,NOT_ENTITLED,0,-1.0563161373138428,0.258014053106308
R180-0014,1,none,"Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.",harmful_regression,0,-0.32809653878211975,0.4187038540840149,SUPPORT,SUPPORT,-0.6183516979217529,0.0,0,False,R180-0021,same_intervention_frame_final,"Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.",1,SUPPORT,1,0.6201596260070801,0.6502548456192017
R180-0015,0,role_swap,"Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.",none,0,-1.1838568449020386,0.23435942828655243,,NOT_ENTITLED,-2.0840492248535156,1.7731952667236328,0,True,,,,,,,,,
R180-0016,1,polarity_flip,"Minister Daria Volkova, the operations chief, approved the Meridian initiative 262 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, did not approved the Meridian initiative 262 in Horizon Plains during July.",harmful_regression,0,-0.03357614204287529,0.4916067123413086,SUPPORT,SUPPORT,-0.11391416937112808,9.299331665039062,0,False,R180-0028,same_intervention_frame_final,"Professor Chidi Eze, the regional coordinator, restored the Meridian initiative 285 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, restored the Meridian initiative 285 in Granite Coast during May.",1,SUPPORT,1,0.2670358717441559,0.5663650631904602
R180-0017,1,none,"Minister Daria Volkova, the operations chief, published the Meridian initiative 118 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, published the Meridian initiative 118 in Horizon Plains during July.",none,1,0.09834662079811096,0.5245668888092041,,SUPPORT,0.11203549057245255,0.0,0,False,,,,,,,,,
R180-0018,0,entity_swap,"Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.",beneficial_correction,0,-0.348165363073349,0.41382738947868347,SUPPORT,NOT_ENTITLED,-0.6527245044708252,1.6272324323654175,0,True,R180-0001,same_intervention_frame_final,"Dr Bianca Flores, the research lead, opened the Meridian initiative 176 in Beacon Harbor during March.","Dr Gabriel Costa, the research lead, opened the Meridian initiative 176 in Beacon Harbor during March.",0,NOT_ENTITLED,0,-0.8275594115257263,0.3041613698005676
R180-0019,1,none,"Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.",harmful_regression,0,-0.43736767768859863,0.3923683762550354,SUPPORT,SUPPORT,-0.8055051565170288,0.0,0,False,R180-0073,same_intervention_frame_final,"Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.",1,SUPPORT,1,0.05503981187939644,0.5137564539909363
R180-0020,1,polarity_flip,"Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, did not published the Meridian initiative 300 in Falcon Ridge during November.",harmful_regression,0,-0.6395556926727295,0.34534698724746704,SUPPORT,SUPPORT,-1.1518008708953857,11.714016914367676,0,False,R180-0065,same_intervention_frame,"Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 78 in Horizon Plains during November.","Coordinator Lucia Romano, the technical adviser, did not opened the Meridian initiative 78 in Horizon Plains during November.",1,REFUTE,1,2.3361997604370117,0.9118310809135437
R180-0021,1,none,"Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.",none,1,0.6201596260070801,0.6502548456192017,,SUPPORT,1.0057671070098877,0.0,0,False,,,,,,,,,
R180-0022,0,location_swap,"Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.",none,0,-1.3045529127120972,0.2133997529745102,,NOT_ENTITLED,-2.2907705307006836,0.8922990560531616,0,True,,,,,,,,,
R180-0023,1,polarity_flip,"Professor Ismail Kaya, the regional coordinator, published the Meridian initiative 195 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, did not published the Meridian initiative 195 in Elm Valley during May.",harmful_regression,0,-0.5529495477676392,0.3651803731918335,SUPPORT,SUPPORT,-1.003467082977295,11.31016731262207,0,False,R180-0076,same_intervention_frame_final,"Engineer Ethan Brooks, the project curator, approved the Meridian initiative 227 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, approved the Meridian initiative 227 in Elm Valley during September.",1,SUPPORT,1,0.36669784784317017,0.590660810470581
R180-0024,0,role_swap,"Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.",beneficial_correction,0,-0.11455225944519043,0.4713931977748871,SUPPORT,NOT_ENTITLED,-0.2526053786277771,2.8445708751678467,0,True,R180-0026,same_intervention_frame_final,"Director Avery Stone, the program director, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the operations chief, launched the Meridian initiative 151 in Aurora City during January.",0,NOT_ENTITLED,0,-0.6411752700805664,0.344980925321579
R180-0025,0,location_swap,"Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Beacon Harbor during March.",none,0,-0.11457407474517822,0.4713878035545349,,NOT_ENTITLED,-0.2526426911354065,0.9387524724006653,0,True,,,,,,,,,
R180-0026,0,role_swap,"Director Avery Stone, the program director, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the program director, did not launched the Meridian initiative 151 in Aurora City during January.",none,0,-0.6411752700805664,0.344980925321579,,NOT_ENTITLED,-1.1545748710632324,11.259472846984863,0,True,,,,,,,,,
R180-0027,1,none,"Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.",harmful_regression,0,-0.32809653878211975,0.4187038540840149,SUPPORT,SUPPORT,-0.6183516979217529,0.0,0,False,R180-0021,same_intervention_frame_final,"Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.",1,SUPPORT,1,0.6201596260070801,0.6502548456192017
R180-0028,1,polarity_flip,"Professor Chidi Eze, the regional coordinator, restored the Meridian initiative 285 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, did not restored the Meridian initiative 285 in Granite Coast during May.",none,1,0.2670358717441559,0.5663650631904602,,SUPPORT,0.4009568691253662,8.473106384277344,0,False,,,,,,,,,
R180-0029,0,location_swap,"Professor Chidi Eze, the regional coordinator, published the Meridian initiative 153 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, did not published the Meridian initiative 153 in Cedar Point during May.",beneficial_correction,0,-0.4697588384151459,0.3846733272075653,SUPPORT,NOT_ENTITLED,-0.8609828352928162,11.631637573242188,0,True,R180-0057,same_intervention_frame_final,"Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.","Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Falcon Ridge during September.",0,NOT_ENTITLED,0,-0.16220593452453613,0.45953720808029175
R180-0030,0,role_swap,"Engineer Kwame Adu, the project curator, launched the Meridian initiative 221 in Granite Coast during September.","Engineer Kwame Adu, the project curator, did not launched the Meridian initiative 221 in Granite Coast during September.",none,0,-0.6172754764556885,0.3504013419151306,,NOT_ENTITLED,-1.113640546798706,11.129772186279297,0,True,,,,,,,,,
R180-0031,0,location_swap,"Dr Mira Chen, the director, approved the Orion project in Seoul during Monday.","Dr Mira Chen, the director, approved the Orion project in Seoul during Monday.",beneficial_correction,0,-0.4795682728290558,0.3823540508747101,SUPPORT,NOT_ENTITLED,-0.8777838945388794,1.2342499494552612,0,True,R180-0039,same_intervention_frame_final,"Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Abuja during June.",0,NOT_ENTITLED,0,-0.7110809683799744,0.3293600082397461
R180-0032,0,title_name_swap,"Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the research lead, did not launched the Meridian initiative 158 in Horizon Plains during March.",beneficial_correction,0,-0.5825233459472656,0.3583521544933319,SUPPORT,NOT_ENTITLED,-1.05411958694458,8.811595916748047,0,True,R180-0086,same_intervention_frame_final,"Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Minister Avery Stone, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.",0,NOT_ENTITLED,0,-0.15054723620414734,0.4624340832233429
R180-0033,0,location_swap,"Minister Julia Novak, the operations chief, launched the Meridian initiative 172 in Falcon Ridge during July.","Minister Julia Novak, the operations chief, did not launched the Meridian initiative 172 in Falcon Ridge during July.",none,0,-0.8920358419418335,0.2906898856163025,,NOT_ENTITLED,-1.5842347145080566,11.59131908416748,0,True,,,,,,,,,
R180-0034,0,title_name_swap,"Dr Bianca Flores, the research lead, approved the Meridian initiative 80 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, approved the Meridian initiative 80 in Beacon Harbor during March.",none,0,-1.6049761772155762,0.16728727519512177,,NOT_ENTITLED,-2.8053176403045654,5.415553092956543,0,True,,,,,,,,,
