scope,run,gate,required,observed,passed,blocking_reason
invocation,,explicit_source_paths,"{""absolute_and_under_repo_root"":true,""commit_format"":""40 lowercase hex""}","{""absolute_and_under_repo_root"":true,""commit_format_valid"":true}",true,
source,,b6_exact_nine_file_closure,"[""stage196b2b6_analysis.json"",""stage196b2b6_candidate_feature_subsets.csv"",""stage196b2b6_clean_dev_application_summary.csv"",""stage196b2b6_clean_dev_signature_audit.csv"",""stage196b2b6_contract.csv"",""stage196b2b6_policy_dominance.csv"",""stage196b2b6_primary_policy_validation.csv"",""stage196b2b6_report.md"",""stage196b2b6_signature_action_map.csv""]","{""files"":[""stage196b2b6_analysis.json"",""stage196b2b6_candidate_feature_subsets.csv"",""stage196b2b6_clean_dev_application_summary.csv"",""stage196b2b6_clean_dev_signature_audit.csv"",""stage196b2b6_contract.csv"",""stage196b2b6_policy_dominance.csv"",""stage196b2b6_primary_policy_validation.csv"",""stage196b2b6_report.md"",""stage196b2b6_signature_action_map.csv""],""missing"":[],""unexpected"":[]}",true,
source,,b5_exact_nine_file_closure,"[""stage196b2b5_analysis.json"",""stage196b2b5_contract.csv"",""stage196b2b5_feature_dictionary.csv"",""stage196b2b5_paired_delta_selector_summary.csv"",""stage196b2b5_paired_delta_signature_rows.csv"",""stage196b2b5_recipient_selector_summary.csv"",""stage196b2b5_recipient_signature_rows.csv"",""stage196b2b5_report.md"",""stage196b2b5_row_action_sets.csv""]","{""files"":[""stage196b2b5_analysis.json"",""stage196b2b5_contract.csv"",""stage196b2b5_feature_dictionary.csv"",""stage196b2b5_paired_delta_selector_summary.csv"",""stage196b2b5_paired_delta_signature_rows.csv"",""stage196b2b5_recipient_selector_summary.csv"",""stage196b2b5_recipient_signature_rows.csv"",""stage196b2b5_report.md"",""stage196b2b5_row_action_sets.csv""],""missing"":[],""unexpected"":[]}",true,
source,,b4_exact_nine_file_closure,"[""stage196b2b4_analysis.json"",""stage196b2b4_contract.csv"",""stage196b2b4_localization_summary.csv"",""stage196b2b4_primitive_coalition_rows.csv"",""stage196b2b4_primitive_mobius_terms.csv"",""stage196b2b4_primitive_tail_summary.csv"",""stage196b2b4_report.md"",""stage196b2b4_residual_coalition_rows.csv"",""stage196b2b4_residual_mobius_terms.csv""]","{""files"":[""stage196b2b4_analysis.json"",""stage196b2b4_contract.csv"",""stage196b2b4_localization_summary.csv"",""stage196b2b4_primitive_coalition_rows.csv"",""stage196b2b4_primitive_mobius_terms.csv"",""stage196b2b4_primitive_tail_summary.csv"",""stage196b2b4_report.md"",""stage196b2b4_residual_coalition_rows.csv"",""stage196b2b4_residual_mobius_terms.csv""],""missing"":[],""unexpected"":[]}",true,
b6,,b6_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B6_PRIMARY_EXACT_CLEAN_DEV_UNSAFE"",""recommended_next_stage"":""STAGE196B2B6P0_SELECTOR_SAFETY_STATE_OBSERVABILITY""}","{""blocking_reasons"":[],""decision"":""STAGE196B2B6_PRIMARY_EXACT_CLEAN_DEV_UNSAFE"",""recommended_next_stage"":""STAGE196B2B6P0_SELECTOR_SAFETY_STATE_OBSERVABILITY""}",true,
b6,,b6_contract_closure,"{""failed"":0}","{""failed"":0,""rows"":51}",true,
b5,,b5_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B5_CROSS_SEED_RECIPIENT_SELECTOR_LOCALIZED"",""recommended_next_stage"":""STAGE196B2B6_MINIMAL_SELECTOR_INTERVENTION_DESIGN""}","{""blocking_reasons"":[],""decision"":""STAGE196B2B5_CROSS_SEED_RECIPIENT_SELECTOR_LOCALIZED"",""recommended_next_stage"":""STAGE196B2B6_MINIMAL_SELECTOR_INTERVENTION_DESIGN""}",true,
b5,,b5_contract_closure,"{""failed"":0}","{""failed"":0,""rows"":57}",true,
b4,,b4_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B4_ROW_SPECIFIC_PRIMITIVE_INTERACTION"",""recommended_next_stage"":""STAGE196B2B5_ROW_SELECTOR_OBSERVABILITY""}","{""blocking_reasons"":[],""decision"":""STAGE196B2B4_ROW_SPECIFIC_PRIMITIVE_INTERACTION"",""recommended_next_stage"":""STAGE196B2B5_ROW_SELECTOR_OBSERVABILITY""}",true,
b4,,b4_contract_closure,"{""failed"":0}","{""failed"":0,""rows"":56}",true,
b6,,b2b6_analyzer_runtime_commit,"""d21457a3b514a304994c799357c725df3edbcc18""","""d21457a3b514a304994c799357c725df3edbcc18""",true,
b4,,b2b4_primitive_row_schema_closure,"{""missing_columns"":[],""required_columns"":[""coalition_mask"",""counterfactual_prediction"",""direction"",""epoch"",""seed"",""stable_row_id""]}","{""missing_columns"":[],""observed_columns"":[""coalition_mask"",""coalition_members"",""coalition_size"",""counterfactual_margin"",""counterfactual_minus_recipient_margin"",""counterfactual_not_entitled_logit"",""counterfactual_prediction"",""counterfactual_refute_logit"",""counterfactual_support_logit"",""dev_position"",""direction"",""donor_margin"",""donor_minus_recipient_margin"",""donor_mode"",""donor_not_entitled_logit"",""donor_prediction"",""donor_prediction_reproduced"",""donor_refute_logit"",""donor_support_logit"",""epoch"",""id"",""intervention_type"",""path_class"",""prediction_changed"",""recipient_margin"",""recipient_mode"",""recipient_not_entitled_logit"",""recipient_prediction"",""recipient_prediction_preserved"",""recipient_refute_logit"",""recipient_support_logit"",""seed"",""source_row_id"",""stable_row_id"",""subtype"",""transition_role""],""required_columns"":[""coalition_mask"",""counterfactual_prediction"",""direction"",""epoch"",""seed"",""stable_row_id""]}",true,
