match_link_id,hard_row_id,control_row_id,match_level,control_reused,text_length_difference,model_confidence_used
M180-0001,clinic_expansion__location_swap,satellite_launch__location_swap,same_intervention_frame_final,False,13,False
M180-0002,generated_fact_055__none,generated_fact_045__none,same_intervention_frame_final,False,0,False
M180-0003,generated_fact_078__location_swap,generated_fact_120__location_swap,same_intervention_frame_final,False,2,False
M180-0004,generated_fact_080__location_swap,generated_fact_128__location_swap,same_intervention_frame_final,False,2,False
M180-0005,generated_fact_083__role_swap,generated_fact_151__role_swap,same_intervention_frame_final,False,0,False
M180-0006,generated_fact_086__entity_swap,generated_fact_158__entity_swap,same_intervention_frame_final,False,2,False
M180-0007,generated_fact_086__none,reef_protection__none,same_intervention_frame_final,False,16,False
M180-0008,generated_fact_087__role_swap,generated_fact_039__role_swap,same_intervention_frame_final,False,0,False
M180-0009,generated_fact_090__location_swap,generated_fact_138__location_swap,same_intervention_frame_final,False,0,False
M180-0010,generated_fact_090__none,generated_fact_118__none,same_intervention_frame_final,False,2,False
M180-0011,generated_fact_110__entity_swap,generated_fact_176__entity_swap,same_intervention_frame_final,False,0,False
M180-0012,generated_fact_135__role_swap,generated_fact_165__role_swap,same_intervention_frame_final,False,0,False
M180-0013,generated_fact_146__none,generated_fact_089__none,same_intervention_frame_final,False,24,False
M180-0014,generated_fact_153__location_swap,generated_fact_161__location_swap,same_intervention_frame_final,False,0,False
M180-0015,generated_fact_158__location_swap,generated_fact_146__location_swap,same_intervention_frame_final,False,1,False
M180-0016,generated_fact_158__role_swap,generated_fact_110__role_swap,same_intervention_frame_final,False,0,False
M180-0017,generated_fact_158__title_name_swap,generated_fact_110__title_name_swap,same_intervention_frame_final,False,0,False
M180-0018,generated_fact_176__location_swap,generated_fact_172__location_swap,same_intervention_frame_final,False,16,False
M180-0019,generated_fact_195__polarity_flip,generated_fact_227__polarity_flip,same_intervention_frame_final,False,0,False
M180-0020,generated_fact_225__location_swap,generated_fact_089__location_swap,same_intervention_frame_final,False,2,False
M180-0021,generated_fact_227__title_name_swap,generated_fact_039__title_name_swap,same_intervention_frame_final,False,0,False
M180-0022,generated_fact_230__polarity_flip,generated_fact_257__polarity_flip,same_intervention_frame_final,False,16,False
M180-0023,generated_fact_230__role_swap,generated_fact_176__role_swap,same_intervention_frame_final,False,0,False
M180-0024,generated_fact_230__title_name_swap,generated_fact_080__title_name_swap,same_intervention_frame_final,False,0,False
M180-0025,generated_fact_238__location_swap,generated_fact_073__location_swap,same_intervention_frame_final,False,0,False
M180-0026,generated_fact_240__polarity_flip,generated_fact_166__polarity_flip,same_intervention_frame_final,False,14,False
M180-0027,generated_fact_262__polarity_flip,generated_fact_285__polarity_flip,same_intervention_frame_final,False,2,False
M180-0028,generated_fact_271__location_swap,generated_fact_039__location_swap,same_intervention_frame_final,False,0,False
M180-0029,generated_fact_271__role_swap,generated_fact_221__role_swap,same_intervention_frame_final,False,0,False
M180-0030,generated_fact_273__location_swap,generated_fact_075__location_swap,same_intervention_frame_final,False,1,False
M180-0031,generated_fact_274__polarity_flip,generated_fact_297__polarity_flip,same_intervention_frame_final,False,8,False
M180-0032,generated_fact_287__polarity_flip,generated_fact_161__polarity_flip,same_intervention_frame_final,False,6,False
M180-0033,generated_fact_300__polarity_flip,generated_fact_078__polarity_flip,same_intervention_frame,False,2,False
M180-0034,language_program__paraphrase,generated_fact_075__paraphrase,same_intervention_frame_final,False,0,False
M180-0035,museum_purchase__none,generated_fact_115__none,same_intervention_frame_final,False,56,False
M180-0036,orion_approval__location_swap,museum_purchase__location_swap,same_intervention_frame_final,False,8,False
M180-0037,reef_protection__location_swap,generated_fact_055__location_swap,same_intervention_frame_final,False,38,False
M180-0038,satellite_launch__event_swap,generated_fact_146__event_swap,same_intervention_frame_final,False,3,False
M180-0039,satellite_launch__none,generated_fact_083__none,same_intervention_frame_final,False,30,False
