review_instance_id,reviewer_id,gold_frame_assessment,intervention_validity,primary_semantic_phenomenon,diagnostic_failure_locus,recommended_data_action,pass2_confidence,pass2_rationale
R180-0001,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,entity_identity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 entity_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0002,chatgpt_pass2,gold_consistent,clean_single_axis_edit,event_identity,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 event_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0003,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0004,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0005,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,head_direction_or_readout,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head만 오분류했지만 gold-conditioned centroid는 맞혀, 표현 자체보다는 frame readout 정렬 문제 후보로 남는다."
R180-0006,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0007,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0008,chatgpt_pass2,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 claim과 evidence가 동일한 canonical control이다. Native frame head도 맞혔으므로 별도의 failure locus는 판정하지 않고 유지한다.
R180-0009,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0010,chatgpt_pass2,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 claim과 evidence가 동일한 canonical control이다. Native frame head도 맞혔으므로 별도의 failure locus는 판정하지 않고 유지한다.
R180-0011,chatgpt_pass2,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 role_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
