review_instance_id,stable_row_index,row_id,pair_id,item_role,stage176_cohort,intervention_type,native_frame_label,gold_final_label,match_link_id,matched_hard_row_id,match_level,is_repeat,repeat_group_id
R180-0001,458,generated_fact_176__entity_swap,generated_fact_176,control,none,entity_swap,0,NOT_ENTITLED,M180-0011,generated_fact_110__entity_swap,same_intervention_frame_final,False,G180-0050
R180-0002,27,satellite_launch__event_swap,satellite_launch,hard,beneficial_correction,event_swap,0,NOT_ENTITLED,M180-0038,satellite_launch__event_swap,same_intervention_frame_final,False,G180-0004
R180-0003,557,generated_fact_230__role_swap,generated_fact_230,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0023,generated_fact_230__role_swap,same_intervention_frame_final,False,G180-0028
R180-0004,292,generated_fact_128__location_swap,generated_fact_128,control,none,location_swap,0,NOT_ENTITLED,M180-0004,generated_fact_080__location_swap,same_intervention_frame_final,False,G180-0043
R180-0005,52,reef_protection__location_swap,reef_protection,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0037,reef_protection__location_swap,same_intervention_frame_final,False,G180-0006
R180-0006,587,generated_fact_240__polarity_flip,generated_fact_240,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0026,generated_fact_240__polarity_flip,same_intervention_frame_final,False,G180-0032
R180-0007,413,generated_fact_165__role_swap,generated_fact_165,control,none,role_swap,0,NOT_ENTITLED,M180-0012,generated_fact_135__role_swap,same_intervention_frame_final,False,G180-0051
R180-0008,240,generated_fact_115__none,generated_fact_115,control,none,none,1,SUPPORT,M180-0035,museum_purchase__none,same_intervention_frame_final,False,G180-0074
R180-0009,268,generated_fact_120__location_swap,generated_fact_120,control,none,location_swap,0,NOT_ENTITLED,M180-0003,generated_fact_078__location_swap,same_intervention_frame_final,False,G180-0042
R180-0010,84,generated_fact_045__none,generated_fact_045,control,none,none,1,SUPPORT,M180-0002,generated_fact_055__none,same_intervention_frame_final,False,G180-0041
R180-0011,185,generated_fact_087__role_swap,generated_fact_087,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0008,generated_fact_087__role_swap,same_intervention_frame_final,False,G180-0014
R180-0012,563,generated_fact_230__polarity_flip,generated_fact_230,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0022,generated_fact_230__polarity_flip,same_intervention_frame_final,False,G180-0030
R180-0013,568,generated_fact_238__location_swap,generated_fact_238,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0025,generated_fact_238__location_swap,same_intervention_frame_final,False,G180-0031
R180-0014,168,generated_fact_086__none,generated_fact_086,hard,harmful_regression,none,1,SUPPORT,M180-0007,generated_fact_086__none,same_intervention_frame_final,True,G180-0012
R180-0015,77,generated_fact_039__role_swap,generated_fact_039,control,none,role_swap,0,NOT_ENTITLED,M180-0008,generated_fact_087__role_swap,same_intervention_frame_final,False,G180-0047
R180-0016,623,generated_fact_262__polarity_flip,generated_fact_262,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0027,generated_fact_262__polarity_flip,same_intervention_frame_final,False,G180-0033
R180-0017,252,generated_fact_118__none,generated_fact_118,control,none,none,1,SUPPORT,M180-0010,generated_fact_090__none,same_intervention_frame_final,False,G180-0049
