source_row_id,item_role,primary_stratum,secondary_tags,stage176_cohort,intervention_family,native_frame_label,native_frame_prediction,native_frame_correct,independent_frame_judgment,pass1_confidence,gold_frame_assessment,intervention_validity,primary_semantic_phenomenon,diagnostic_failure_locus,recommended_data_action,pass2_confidence,repeat_consistency,matched_control_source_id,matched_control_primary_stratum,matched_control_taxonomy,stage179_diagnostic_class,stage179_centroid_prediction,stage179_centroid_correct,stage179_frame_logit,stage179_head_direction_projection,data_priority_score,model_priority_score,classification_reason
clinic_expansion__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,exact,satellite_launch__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.5234662890434265,-0.9529699087142944,0,7,predeclared_stratum_conditions_met
generated_fact_055__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_REPRESENTATION_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",harmful_regression,none,1,0,False,compatible,5,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,exact,generated_fact_045__none,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""compatible"", ""intervention_validity"": ""canonical_control"", ""primary_semantic_phenomenon"": ""other"", ""recommended_data_action"": ""keep_unchanged""}",representation_failure,0,False,-0.6304675936698914,-1.1362354755401611,0,7,predeclared_stratum_conditions_met
generated_fact_078__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_120__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.44093891978263855,-0.8116216659545898,0,7,predeclared_stratum_conditions_met
generated_fact_080__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_128__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.21333234012126923,-0.4217902421951294,0,7,predeclared_stratum_conditions_met
generated_fact_083__role_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,role_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_151__role_swap,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""role_relation"", ""recommended_data_action"": ""redesign_intervention""}",both_correct,0,True,-0.11455225944519043,-0.2526053786277771,0,5,predeclared_stratum_conditions_met
generated_fact_086__entity_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,entity_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,entity_identity,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_158__entity_swap,CONTROL_ANOMALY,"{""diagnostic_failure_locus"": ""data_or_intervention_design"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""unnatural_or_broken_text"", ""primary_semantic_phenomenon"": ""entity_identity"", ""recommended_data_action"": ""redesign_intervention""}",both_correct,0,True,-0.32142409682273865,-0.6069236993789673,0,4,predeclared_stratum_conditions_met
generated_fact_086__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_REPRESENTATION_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",harmful_regression,none,1,0,False,compatible,5,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,exact,reef_protection__none,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""compatible"", ""intervention_validity"": ""canonical_control"", ""primary_semantic_phenomenon"": ""other"", ""recommended_data_action"": ""keep_unchanged""}",representation_failure,0,False,-0.32809653878211975,-0.6183516979217529,0,7,predeclared_stratum_conditions_met
generated_fact_087__role_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,role_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_039__role_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""role_relation"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.6100422739982605,-1.1012521982192993,0,7,predeclared_stratum_conditions_met
generated_fact_090__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_FINAL_BOUNDARY_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",beneficial_correction,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,exact,generated_fact_138__location_swap,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""incompatible"", ""intervention_validity"": ""clean_single_axis_edit"", ""primary_semantic_phenomenon"": ""location_scope"", ""recommended_data_action"": ""keep_unchanged""}",both_correct,0,True,-0.5020459890365601,-0.9162821173667908,0,7,predeclared_stratum_conditions_met
generated_fact_090__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,"[""LABEL_ADJUDICATION_REQUIRED"", ""MODEL_REPRESENTATION_CANDIDATE"", ""PROVISIONAL_AI_REVIEW""]",harmful_regression,none,1,0,False,compatible,5,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,exact,generated_fact_118__none,CLEAN_CONTROL_REFERENCE,"{""diagnostic_failure_locus"": ""cannot_determine"", ""gold_frame_assessment"": ""gold_consistent"", ""independent_frame_judgment"": ""compatible"", ""intervention_validity"": ""canonical_control"", ""primary_semantic_phenomenon"": ""other"", ""recommended_data_action"": ""keep_unchanged""}",representation_failure,0,False,-0.6144053936004639,-1.1087250709533691,0,7,predeclared_stratum_conditions_met
