item_role,intervention_type,axis,category,count,denominator,rate
control,,gold_frame_assessment,cannot_determine,0,39,0.0
control,,gold_frame_assessment,gold_consistent,39,39,1.0
control,,gold_frame_assessment,gold_likely_incorrect,0,39,0.0
control,,gold_frame_assessment,gold_questionable,0,39,0.0
hard,,gold_frame_assessment,cannot_determine,0,39,0.0
hard,,gold_frame_assessment,gold_consistent,39,39,1.0
hard,,gold_frame_assessment,gold_likely_incorrect,0,39,0.0
hard,,gold_frame_assessment,gold_questionable,0,39,0.0
control,entity_swap,gold_frame_assessment,cannot_determine,0,2,0.0
control,entity_swap,gold_frame_assessment,gold_consistent,2,2,1.0
control,entity_swap,gold_frame_assessment,gold_likely_incorrect,0,2,0.0
control,entity_swap,gold_frame_assessment,gold_questionable,0,2,0.0
control,event_swap,gold_frame_assessment,cannot_determine,0,1,0.0
control,event_swap,gold_frame_assessment,gold_consistent,1,1,1.0
control,event_swap,gold_frame_assessment,gold_likely_incorrect,0,1,0.0
control,event_swap,gold_frame_assessment,gold_questionable,0,1,0.0
control,location_swap,gold_frame_assessment,cannot_determine,0,13,0.0
control,location_swap,gold_frame_assessment,gold_consistent,13,13,1.0
control,location_swap,gold_frame_assessment,gold_likely_incorrect,0,13,0.0
control,location_swap,gold_frame_assessment,gold_questionable,0,13,0.0
control,none,gold_frame_assessment,cannot_determine,0,6,0.0
control,none,gold_frame_assessment,gold_consistent,6,6,1.0
control,none,gold_frame_assessment,gold_likely_incorrect,0,6,0.0
control,none,gold_frame_assessment,gold_questionable,0,6,0.0
control,paraphrase,gold_frame_assessment,cannot_determine,0,1,0.0
control,paraphrase,gold_frame_assessment,gold_consistent,1,1,1.0
control,paraphrase,gold_frame_assessment,gold_likely_incorrect,0,1,0.0
control,paraphrase,gold_frame_assessment,gold_questionable,0,1,0.0
control,polarity_flip,gold_frame_assessment,cannot_determine,0,7,0.0
control,polarity_flip,gold_frame_assessment,gold_consistent,7,7,1.0
control,polarity_flip,gold_frame_assessment,gold_likely_incorrect,0,7,0.0
control,polarity_flip,gold_frame_assessment,gold_questionable,0,7,0.0
control,role_swap,gold_frame_assessment,cannot_determine,0,6,0.0
control,role_swap,gold_frame_assessment,gold_consistent,6,6,1.0
control,role_swap,gold_frame_assessment,gold_likely_incorrect,0,6,0.0
control,role_swap,gold_frame_assessment,gold_questionable,0,6,0.0
control,title_name_swap,gold_frame_assessment,cannot_determine,0,3,0.0
control,title_name_swap,gold_frame_assessment,gold_consistent,3,3,1.0
control,title_name_swap,gold_frame_assessment,gold_likely_incorrect,0,3,0.0
control,title_name_swap,gold_frame_assessment,gold_questionable,0,3,0.0
hard,entity_swap,gold_frame_assessment,cannot_determine,0,2,0.0
hard,entity_swap,gold_frame_assessment,gold_consistent,2,2,1.0
hard,entity_swap,gold_frame_assessment,gold_likely_incorrect,0,2,0.0
hard,entity_swap,gold_frame_assessment,gold_questionable,0,2,0.0
hard,event_swap,gold_frame_assessment,cannot_determine,0,1,0.0
hard,event_swap,gold_frame_assessment,gold_consistent,1,1,1.0
hard,event_swap,gold_frame_assessment,gold_likely_incorrect,0,1,0.0
hard,event_swap,gold_frame_assessment,gold_questionable,0,1,0.0
hard,location_swap,gold_frame_assessment,cannot_determine,0,13,0.0
hard,location_swap,gold_frame_assessment,gold_consistent,13,13,1.0
hard,location_swap,gold_frame_assessment,gold_likely_incorrect,0,13,0.0
hard,location_swap,gold_frame_assessment,gold_questionable,0,13,0.0
hard,none,gold_frame_assessment,cannot_determine,0,6,0.0
hard,none,gold_frame_assessment,gold_consistent,6,6,1.0
hard,none,gold_frame_assessment,gold_likely_incorrect,0,6,0.0
hard,none,gold_frame_assessment,gold_questionable,0,6,0.0
hard,paraphrase,gold_frame_assessment,cannot_determine,0,1,0.0
hard,paraphrase,gold_frame_assessment,gold_consistent,1,1,1.0
hard,paraphrase,gold_frame_assessment,gold_likely_incorrect,0,1,0.0
hard,paraphrase,gold_frame_assessment,gold_questionable,0,1,0.0
hard,polarity_flip,gold_frame_assessment,cannot_determine,0,7,0.0
hard,polarity_flip,gold_frame_assessment,gold_consistent,7,7,1.0
hard,polarity_flip,gold_frame_assessment,gold_likely_incorrect,0,7,0.0
hard,polarity_flip,gold_frame_assessment,gold_questionable,0,7,0.0
hard,role_swap,gold_frame_assessment,cannot_determine,0,6,0.0
hard,role_swap,gold_frame_assessment,gold_consistent,6,6,1.0
hard,role_swap,gold_frame_assessment,gold_likely_incorrect,0,6,0.0
hard,role_swap,gold_frame_assessment,gold_questionable,0,6,0.0
hard,title_name_swap,gold_frame_assessment,cannot_determine,0,3,0.0
hard,title_name_swap,gold_frame_assessment,gold_consistent,3,3,1.0
hard,title_name_swap,gold_frame_assessment,gold_likely_incorrect,0,3,0.0
hard,title_name_swap,gold_frame_assessment,gold_questionable,0,3,0.0
