row_id,pair_id,intervention_type,invalid_do_support,duplicate_negation,missing_subject,malformed_role_phrase,missing_event_object,empty_location,empty_temporal,template_violation,affected_side,grammar_valid
clinic_expansion__location_swap,clinic_expansion,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_039__location_swap,generated_fact_039,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_039__role_swap,generated_fact_039,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_039__title_name_swap,generated_fact_039,title_name_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_045__none,generated_fact_045,none,False,False,False,False,False,False,False,False,none,True
generated_fact_055__location_swap,generated_fact_055,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_055__none,generated_fact_055,none,False,False,False,False,False,False,False,False,none,True
generated_fact_073__location_swap,generated_fact_073,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_075__location_swap,generated_fact_075,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_075__paraphrase,generated_fact_075,paraphrase,False,False,False,False,False,False,False,False,none,True
generated_fact_078__location_swap,generated_fact_078,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_078__polarity_flip,generated_fact_078,polarity_flip,True,False,False,False,False,False,False,True,evidence,False
generated_fact_080__location_swap,generated_fact_080,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_080__title_name_swap,generated_fact_080,title_name_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_083__none,generated_fact_083,none,False,False,False,False,False,False,False,False,none,True
generated_fact_083__role_swap,generated_fact_083,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_086__entity_swap,generated_fact_086,entity_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_086__none,generated_fact_086,none,False,False,False,False,False,False,False,False,none,True
generated_fact_087__role_swap,generated_fact_087,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_089__location_swap,generated_fact_089,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_089__none,generated_fact_089,none,False,False,False,False,False,False,False,False,none,True
generated_fact_090__location_swap,generated_fact_090,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_090__none,generated_fact_090,none,False,False,False,False,False,False,False,False,none,True
generated_fact_110__entity_swap,generated_fact_110,entity_swap,False,False,False,False,False,False,False,False,none,True
