id,source_dataset,claim,evidence,gold_label,base_prediction,composed_prediction,composer_reason
tals_vitaminc_validation_sample1000_validation_62847,tals_vitaminc_validation_sample1000,The Cincinnati Kid is a boy .,He considers it the film that allowed him to transition from the lighter comedic films he had previously been making and take on more serious films and subjects .,REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_61972,tals_vitaminc_validation_sample1000,Efraim Diveroli had a four-year sentence .,Diveroli was sentenced to four years in federal prison .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_47744,tals_vitaminc_validation_sample1000,Emma Watson was born before 1995 .,"Emma Charlotte Duerre Watson -LRB- born 15 April 1990 -RRB- is a French-British actress , model , and activist .",SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_59780,tals_vitaminc_validation_sample1000,Tilda Swinton is a singer .,"After participating in Celine Dion 's tour , Swinton released her album `` True '' .",SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_62168,tals_vitaminc_validation_sample1000,I Kissed a Girl is a work of literature .,"I Kissed a Girl is a novel written by Katy Perry , first published on April 28 , 2008 , by Capitol Records .",SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_55992,tals_vitaminc_validation_sample1000,Recovery is an Eminem album .,Recovery is the seventh studio album by American rapper Eminem .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_17884,tals_vitaminc_validation_sample1000,Atlético Madrid 's players had virtually given up 10 minutes before the end of the 2014 UEFA Champions League Final .,"With only 10 minutes left , it seemed Atlético 's comeback was mission impossible , with its ' players virtually giving up .",SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_28252,tals_vitaminc_validation_sample1000,Fewer than 300 laboratory-confirmed cases of COVID-19 have been confirmed in China .,"China confirms sharp rise in cases of SARS-like virus across the country As of 21 January , the number of laboratory-confirmed cases stands at 303 , including 298 in China , two in Thailand , one in Japan , one in South Korea and one in Taiwan .",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_42054,tals_vitaminc_validation_sample1000,Critics consider that To Pimp a Butterfly is among the best albums of all time .,It is considered as the greatest album of all time by many .,REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_33552,tals_vitaminc_validation_sample1000,South Korea had more positive cases and a higher number of coronavirus-related deaths than Italy as of February 2020 .,"As of late February , Italy was hit harder than anywhere else in the EU by the outbreak , and is the country with the third-highest number of positive cases , as well as deaths , in the world , with China and Iran surpassing Italy .",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
