row_id,item_role,stage176_cohort,review_instance_count,match_link_id,has_direct_matched_control,hard_items_with_direct_matched_control,hard_items_missing_direct_matched_control,pass2_matched_control_context_included
orion_approval__location_swap,hard,beneficial_correction,1,M180-0036,True,39,0,True
museum_purchase__none,hard,harmful_regression,1,M180-0035,True,39,0,True
satellite_launch__none,hard,harmful_regression,2,M180-0039,True,39,0,True
satellite_launch__event_swap,hard,beneficial_correction,1,M180-0038,True,39,0,True
clinic_expansion__location_swap,hard,beneficial_correction,1,M180-0001,True,39,0,True
reef_protection__location_swap,hard,beneficial_correction,1,M180-0037,True,39,0,True
language_program__paraphrase,hard,harmful_regression,1,M180-0034,True,39,0,True
generated_fact_055__none,hard,harmful_regression,1,M180-0002,True,39,0,True
generated_fact_078__location_swap,hard,beneficial_correction,1,M180-0003,True,39,0,True
generated_fact_080__location_swap,hard,beneficial_correction,1,M180-0004,True,39,0,True
generated_fact_083__role_swap,hard,beneficial_correction,1,M180-0005,True,39,0,True
generated_fact_086__none,hard,harmful_regression,2,M180-0007,True,39,0,True
generated_fact_086__entity_swap,hard,beneficial_correction,1,M180-0006,True,39,0,True
generated_fact_087__role_swap,hard,beneficial_correction,1,M180-0008,True,39,0,True
generated_fact_090__none,hard,harmful_regression,1,M180-0010,True,39,0,True
generated_fact_090__location_swap,hard,beneficial_correction,1,M180-0009,True,39,0,True
generated_fact_110__entity_swap,hard,beneficial_correction,1,M180-0011,True,39,0,True
generated_fact_135__role_swap,hard,beneficial_correction,1,M180-0012,True,39,0,True
generated_fact_146__none,hard,harmful_regression,1,M180-0013,True,39,0,True
generated_fact_153__location_swap,hard,beneficial_correction,1,M180-0014,True,39,0,True
generated_fact_158__location_swap,hard,beneficial_correction,1,M180-0015,True,39,0,True
generated_fact_158__role_swap,hard,beneficial_correction,1,M180-0016,True,39,0,True
generated_fact_158__title_name_swap,hard,beneficial_correction,1,M180-0017,True,39,0,True
generated_fact_176__location_swap,hard,beneficial_correction,1,M180-0018,True,39,0,True
generated_fact_195__polarity_flip,hard,harmful_regression,1,M180-0019,True,39,0,True
generated_fact_225__location_swap,hard,beneficial_correction,1,M180-0020,True,39,0,True
generated_fact_227__title_name_swap,hard,beneficial_correction,1,M180-0021,True,39,0,True
generated_fact_230__role_swap,hard,beneficial_correction,1,M180-0023,True,39,0,True
generated_fact_230__title_name_swap,hard,beneficial_correction,1,M180-0024,True,39,0,True
generated_fact_230__polarity_flip,hard,harmful_regression,2,M180-0022,True,39,0,True
generated_fact_238__location_swap,hard,beneficial_correction,1,M180-0025,True,39,0,True
generated_fact_240__polarity_flip,hard,harmful_regression,1,M180-0026,True,39,0,True
generated_fact_262__polarity_flip,hard,harmful_regression,1,M180-0027,True,39,0,True
generated_fact_271__location_swap,hard,beneficial_correction,1,M180-0028,True,39,0,True
generated_fact_271__role_swap,hard,beneficial_correction,1,M180-0029,True,39,0,True
generated_fact_273__location_swap,hard,beneficial_correction,1,M180-0030,True,39,0,True
generated_fact_274__polarity_flip,hard,harmful_regression,1,M180-0031,True,39,0,True
generated_fact_287__polarity_flip,hard,harmful_regression,1,M180-0032,True,39,0,True
generated_fact_300__polarity_flip,hard,harmful_regression,2,M180-0033,True,39,0,True
satellite_launch__location_swap,control,none,1,M180-0001,False,39,0,True
generated_fact_045__none,control,none,1,M180-0002,False,39,0,True
generated_fact_120__location_swap,control,none,1,M180-0003,False,39,0,True
generated_fact_128__location_swap,control,none,2,M180-0004,False,39,0,True
generated_fact_151__role_swap,control,none,2,M180-0005,False,39,0,True
generated_fact_158__entity_swap,control,none,1,M180-0006,False,39,0,True
reef_protection__none,control,none,1,M180-0007,False,39,0,True
generated_fact_039__role_swap,control,none,1,M180-0008,False,39,0,True
generated_fact_138__location_swap,control,none,1,M180-0009,False,39,0,True
generated_fact_118__none,control,none,1,M180-0010,False,39,0,True
generated_fact_176__entity_swap,control,none,1,M180-0011,False,39,0,True
generated_fact_165__role_swap,control,none,1,M180-0012,False,39,0,True
generated_fact_089__none,control,none,1,M180-0013,False,39,0,True
generated_fact_161__location_swap,control,none,1,M180-0014,False,39,0,True
generated_fact_146__location_swap,control,none,1,M180-0015,False,39,0,True
generated_fact_110__role_swap,control,none,1,M180-0016,False,39,0,True
generated_fact_110__title_name_swap,control,none,1,M180-0017,False,39,0,True
generated_fact_172__location_swap,control,none,1,M180-0018,False,39,0,True
generated_fact_227__polarity_flip,control,none,1,M180-0019,False,39,0,True
generated_fact_089__location_swap,control,none,1,M180-0020,False,39,0,True
generated_fact_039__title_name_swap,control,none,1,M180-0021,False,39,0,True
generated_fact_257__polarity_flip,control,none,1,M180-0022,False,39,0,True
generated_fact_176__role_swap,control,none,1,M180-0023,False,39,0,True
generated_fact_080__title_name_swap,control,none,1,M180-0024,False,39,0,True
generated_fact_073__location_swap,control,none,1,M180-0025,False,39,0,True
generated_fact_166__polarity_flip,control,none,1,M180-0026,False,39,0,True
generated_fact_285__polarity_flip,control,none,1,M180-0027,False,39,0,True
generated_fact_039__location_swap,control,none,1,M180-0028,False,39,0,True
generated_fact_221__role_swap,control,none,1,M180-0029,False,39,0,True
generated_fact_075__location_swap,control,none,1,M180-0030,False,39,0,True
generated_fact_297__polarity_flip,control,none,2,M180-0031,False,39,0,True
generated_fact_161__polarity_flip,control,none,1,M180-0032,False,39,0,True
generated_fact_078__polarity_flip,control,none,1,M180-0033,False,39,0,True
generated_fact_075__paraphrase,control,none,2,M180-0034,False,39,0,True
generated_fact_115__none,control,none,1,M180-0035,False,39,0,True
museum_purchase__location_swap,control,none,1,M180-0036,False,39,0,True
generated_fact_055__location_swap,control,none,1,M180-0037,False,39,0,True
generated_fact_146__event_swap,control,none,1,M180-0038,False,39,0,True
generated_fact_083__none,control,none,1,M180-0039,False,39,0,True
