scope,run,gate,required,observed,passed,blocking_reason
source,,analysis_runtime_commit_format,lowercase 40-hex,9c7bb278a90c603a9fab95e5fe969f79b1bd1929,true,
source,,analysis_runtime_commit_equals_head,9c7bb278a90c603a9fab95e5fe969f79b1bd1929,9c7bb278a90c603a9fab95e5fe969f79b1bd1929,true,
source,,stage196b1_runtime_commit_format,lowercase 40-hex,9835cbbf86d83aca0964821669e63f7f6deb1c59,true,
source,,analysis_and_training_commit_roles_separated,independent roles; equal or different values are valid,"{""analysis_runtime_git_commit"":""9c7bb278a90c603a9fab95e5fe969f79b1bd1929"",""stage196b1_runtime_git_commit"":""9835cbbf86d83aca0964821669e63f7f6deb1c59""}",true,
source,,framegate_implementation_origin_commit_preserved,"{""git_commit"":""5a39538ef3ca8f36cc2cc5d3290eae60d6a5f5c8"",""role"":""FrameGate gradient-ownership implementation origin""}","{""analysis_runtime_git_commit"":""9c7bb278a90c603a9fab95e5fe969f79b1bd1929"",""framegate_implementation_origin_git_commit"":""5a39538ef3ca8f36cc2cc5d3290eae60d6a5f5c8"",""stage196b1_runtime_git_commit"":""9835cbbf86d83aca0964821669e63f7f6deb1c59""}",true,
source,,exact_six_run_root,"[""seed183_joint"",""seed183_frame_local_only"",""seed184_joint"",""seed184_frame_local_only"",""seed185_joint"",""seed185_frame_local_only""]","[""seed184_frame_local_only"",""seed183_joint"",""seed185_joint"",""seed185_frame_local_only"",""seed183_frame_local_only"",""seed184_joint""]",true,
stage196a,,report_decision_and_count_closure,"{""blocking_reasons"":[],""decision"":""STAGE196A_RECURRENT_LOCAL_CHANNEL_FAILURE"",""native_channel_threshold"":0.5,""persistent_row_count"":127,""runnable"":true}","{""blocking_reasons"":[],""decision"":""STAGE196A_RECURRENT_LOCAL_CHANNEL_FAILURE"",""native_channel_threshold"":0.5,""persistent_row_count"":127,""runnable"":true}",true,
stage196a,,source_closure,true,true,true,
stage196a,,recurrent_sets_loaded_not_replaced,"{""stage196a_baseline_recurrent"":22,""stage196a_common_recurrent"":19,""stage196a_intervention_recurrent"":19,""stage196a_universal_all_six"":10}","{""stage196a_baseline_recurrent"":22,""stage196a_common_recurrent"":19,""stage196a_intervention_recurrent"":19,""stage196a_universal_all_six"":10}",true,
run,seed183_joint,required_artifacts,[],[],true,
run,seed183_joint,trajectory_capsule_swa_closure,"{""capsules"":0,""swa"":0,""trajectory"":20}","{""capsules"":0,""swa"":0,""trajectory"":20}",true,
provenance,seed183_joint,run_provenance_path,/kaggle/working/ContraMamba/reports/stage196b1_framegate_gradient_ownership_runs/seed183_joint/run_provenance.json,/kaggle/working/ContraMamba/reports/stage196b1_framegate_gradient_ownership_runs/seed183_joint/run_provenance.json,true,
provenance,seed183_joint,stage196b1_runtime_commit_authoritative_fields,9835cbbf86d83aca0964821669e63f7f6deb1c59,"{""run_provenance.source_provenance.git_commit"":""9835cbbf86d83aca0964821669e63f7f6deb1c59"",""trajectory_contract.trainer_source_commit"":""9835cbbf86d83aca0964821669e63f7f6deb1c59""}",true,
