review_instance_id,claim,evidence,claim_segment,evidence_segment,reviewer_id,independent_frame_judgment,pass1_confidence,pass1_rationale
R180-0001,"Dr Bianca Flores, the research lead, opened the Meridian initiative 176 in Beacon Harbor during March.","Dr Gabriel Costa, the research lead, opened the Meridian initiative 176 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, opened the Meridian initiative 176 in Beacon Harbor during March.","Dr Gabriel Costa, the research lead, opened the Meridian initiative 176 in Beacon Harbor during March.",terry,insufficient_context,3.0,주체 다름
R180-0002,"Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Nimbus probe in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Nimbus probe in Tanegashima during March.",terry,insufficient_context,3.0,둘 다 같이 했을 가능성 배제하면 안됨
R180-0003,"Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the project curator, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the project curator, published the Meridian initiative 230 in Horizon Plains during March.",,,,
R180-0004,"Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Elm Valley during March.","Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Elm Valley during March.",,,,
R180-0005,"Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Suva during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Suva during July.",,,,
R180-0006,"Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 240 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 240 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 240 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, selected the Meridian initiative 240 in Beacon Harbor during November.",,,,
R180-0007,"Professor Chidi Eze, the regional coordinator, launched the Meridian initiative 165 in Granite Coast during May.","Professor Chidi Eze, the technical adviser, launched the Meridian initiative 165 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, launched the Meridian initiative 165 in Granite Coast during May.","Professor Chidi Eze, the technical adviser, launched the Meridian initiative 165 in Granite Coast during May.",,,,
R180-0008,"Director Avery Stone, the program director, approved the Meridian initiative 115 in Elm Valley during January.","Director Avery Stone, the program director, approved the Meridian initiative 115 in Elm Valley during January.","Director Avery Stone, the program director, approved the Meridian initiative 115 in Elm Valley during January.","Director Avery Stone, the program director, approved the Meridian initiative 115 in Elm Valley during January.",,,,
R180-0009,"Coordinator Farah Qureshi, the technical adviser, opened the Meridian initiative 120 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, opened the Meridian initiative 120 in Elm Valley during November.","Coordinator Farah Qureshi, the technical adviser, opened the Meridian initiative 120 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, opened the Meridian initiative 120 in Elm Valley during November.",,,,
R180-0010,"Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 45 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 45 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 45 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 45 in Granite Coast during May.",,,,
