error_type,id,gold,pred,claim,evidence
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_61972,SUPPORT,NOT_ENTITLED,Efraim Diveroli had a four-year sentence .,Diveroli was sentenced to four years in federal prison .
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_47744,SUPPORT,NOT_ENTITLED,Emma Watson was born before 1995 .,"Emma Charlotte Duerre Watson -LRB- born 15 April 1990 -RRB- is a French-British actress , model , and activist ."
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_55992,SUPPORT,NOT_ENTITLED,Recovery is an Eminem album .,Recovery is the seventh studio album by American rapper Eminem .
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_23116,SUPPORT,NOT_ENTITLED,"As reported by the Daily Mail , Phil Tufnell married Dawn .",Daily Mail Retrieved 10 June 2008 He is now married to Dawn .
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_49256,SUPPORT,NOT_ENTITLED,Harold Macmillan worked in sports .,"After his resignation , Macmillan lived out a long retirement as an elder sports coach ."
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_40742,SUPPORT,NOT_ENTITLED,Part of the plot of `` Miracle at St. Anna '' takes place in the winter of 1984 .,"The film was released on September 26 , 2008 , and is set during World War II , in fall of 1944 in Tuscany and in the winter of 1984 in New York City and Rome."
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_44414,SUPPORT,NOT_ENTITLED,Bones is solely a television pitch .,"Bones was pitched to the network , but was rejected and the idea has remained shelved ever since ."
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_6974,SUPPORT,NOT_ENTITLED,"In the movie Dumb and Dumberer : When Harry Met Lloyd , the characters Harry and Lloyd head off to enjoy the rest of the day when they are approached by two girls .","As Harry and Lloyd head off to enjoy the rest of the day , two girls in a sports car come up to them and offer to bring them to a huge party ."
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_62847,REFUTE,NOT_ENTITLED,The Cincinnati Kid is a boy .,He considers it the film that allowed him to transition from the lighter comedic films he had previously been making and take on more serious films and subjects .
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_28252,REFUTE,NOT_ENTITLED,Fewer than 300 laboratory-confirmed cases of COVID-19 have been confirmed in China .,"China confirms sharp rise in cases of SARS-like virus across the country As of 21 January , the number of laboratory-confirmed cases stands at 303 , including 298 in China , two in Thailand , one in Japan , one in South Korea and one in Taiwan ."
