stage176_cohort,intervention_type,axis,category,count,denominator,rate
beneficial_correction,entity_swap,diagnostic_failure_locus,cannot_determine,0,2,0.0
beneficial_correction,entity_swap,diagnostic_failure_locus,data_or_intervention_design,0,2,0.0
beneficial_correction,entity_swap,diagnostic_failure_locus,downstream_final_boundary,2,2,1.0
beneficial_correction,entity_swap,diagnostic_failure_locus,genuinely_hard_semantic_case,0,2,0.0
beneficial_correction,entity_swap,diagnostic_failure_locus,head_direction_or_readout,0,2,0.0
beneficial_correction,entity_swap,diagnostic_failure_locus,input_representation_insensitivity,0,2,0.0
beneficial_correction,entity_swap,diagnostic_failure_locus,label_semantics_or_annotation,0,2,0.0
beneficial_correction,entity_swap,diagnostic_failure_locus,mixed,0,2,0.0
beneficial_correction,event_swap,diagnostic_failure_locus,cannot_determine,0,1,0.0
beneficial_correction,event_swap,diagnostic_failure_locus,data_or_intervention_design,0,1,0.0
beneficial_correction,event_swap,diagnostic_failure_locus,downstream_final_boundary,1,1,1.0
beneficial_correction,event_swap,diagnostic_failure_locus,genuinely_hard_semantic_case,0,1,0.0
beneficial_correction,event_swap,diagnostic_failure_locus,head_direction_or_readout,0,1,0.0
beneficial_correction,event_swap,diagnostic_failure_locus,input_representation_insensitivity,0,1,0.0
beneficial_correction,event_swap,diagnostic_failure_locus,label_semantics_or_annotation,0,1,0.0
beneficial_correction,event_swap,diagnostic_failure_locus,mixed,0,1,0.0
beneficial_correction,location_swap,diagnostic_failure_locus,cannot_determine,0,13,0.0
beneficial_correction,location_swap,diagnostic_failure_locus,data_or_intervention_design,7,13,0.5384615384615384
beneficial_correction,location_swap,diagnostic_failure_locus,downstream_final_boundary,5,13,0.38461538461538464
beneficial_correction,location_swap,diagnostic_failure_locus,genuinely_hard_semantic_case,0,13,0.0
beneficial_correction,location_swap,diagnostic_failure_locus,head_direction_or_readout,1,13,0.07692307692307693
beneficial_correction,location_swap,diagnostic_failure_locus,input_representation_insensitivity,0,13,0.0
beneficial_correction,location_swap,diagnostic_failure_locus,label_semantics_or_annotation,0,13,0.0
beneficial_correction,location_swap,diagnostic_failure_locus,mixed,0,13,0.0
beneficial_correction,role_swap,diagnostic_failure_locus,cannot_determine,0,6,0.0
beneficial_correction,role_swap,diagnostic_failure_locus,data_or_intervention_design,3,6,0.5
beneficial_correction,role_swap,diagnostic_failure_locus,downstream_final_boundary,3,6,0.5
beneficial_correction,role_swap,diagnostic_failure_locus,genuinely_hard_semantic_case,0,6,0.0
beneficial_correction,role_swap,diagnostic_failure_locus,head_direction_or_readout,0,6,0.0
beneficial_correction,role_swap,diagnostic_failure_locus,input_representation_insensitivity,0,6,0.0
beneficial_correction,role_swap,diagnostic_failure_locus,label_semantics_or_annotation,0,6,0.0
beneficial_correction,role_swap,diagnostic_failure_locus,mixed,0,6,0.0
beneficial_correction,title_name_swap,diagnostic_failure_locus,cannot_determine,0,3,0.0
beneficial_correction,title_name_swap,diagnostic_failure_locus,data_or_intervention_design,3,3,1.0
beneficial_correction,title_name_swap,diagnostic_failure_locus,downstream_final_boundary,0,3,0.0
beneficial_correction,title_name_swap,diagnostic_failure_locus,genuinely_hard_semantic_case,0,3,0.0
beneficial_correction,title_name_swap,diagnostic_failure_locus,head_direction_or_readout,0,3,0.0
beneficial_correction,title_name_swap,diagnostic_failure_locus,input_representation_insensitivity,0,3,0.0
beneficial_correction,title_name_swap,diagnostic_failure_locus,label_semantics_or_annotation,0,3,0.0
beneficial_correction,title_name_swap,diagnostic_failure_locus,mixed,0,3,0.0
harmful_regression,none,diagnostic_failure_locus,cannot_determine,0,6,0.0
harmful_regression,none,diagnostic_failure_locus,data_or_intervention_design,0,6,0.0
harmful_regression,none,diagnostic_failure_locus,downstream_final_boundary,0,6,0.0
harmful_regression,none,diagnostic_failure_locus,genuinely_hard_semantic_case,0,6,0.0
harmful_regression,none,diagnostic_failure_locus,head_direction_or_readout,0,6,0.0
harmful_regression,none,diagnostic_failure_locus,input_representation_insensitivity,6,6,1.0
harmful_regression,none,diagnostic_failure_locus,label_semantics_or_annotation,0,6,0.0
harmful_regression,none,diagnostic_failure_locus,mixed,0,6,0.0
harmful_regression,paraphrase,diagnostic_failure_locus,cannot_determine,0,1,0.0
harmful_regression,paraphrase,diagnostic_failure_locus,data_or_intervention_design,0,1,0.0
harmful_regression,paraphrase,diagnostic_failure_locus,downstream_final_boundary,0,1,0.0
harmful_regression,paraphrase,diagnostic_failure_locus,genuinely_hard_semantic_case,0,1,0.0
harmful_regression,paraphrase,diagnostic_failure_locus,head_direction_or_readout,0,1,0.0
harmful_regression,paraphrase,diagnostic_failure_locus,input_representation_insensitivity,1,1,1.0
harmful_regression,paraphrase,diagnostic_failure_locus,label_semantics_or_annotation,0,1,0.0
harmful_regression,paraphrase,diagnostic_failure_locus,mixed,0,1,0.0
harmful_regression,polarity_flip,diagnostic_failure_locus,cannot_determine,0,7,0.0
harmful_regression,polarity_flip,diagnostic_failure_locus,data_or_intervention_design,7,7,1.0
harmful_regression,polarity_flip,diagnostic_failure_locus,downstream_final_boundary,0,7,0.0
harmful_regression,polarity_flip,diagnostic_failure_locus,genuinely_hard_semantic_case,0,7,0.0
harmful_regression,polarity_flip,diagnostic_failure_locus,head_direction_or_readout,0,7,0.0
harmful_regression,polarity_flip,diagnostic_failure_locus,input_representation_insensitivity,0,7,0.0
harmful_regression,polarity_flip,diagnostic_failure_locus,label_semantics_or_annotation,0,7,0.0
harmful_regression,polarity_flip,diagnostic_failure_locus,mixed,0,7,0.0
