family,row_count,pair_coverage,canonical_counterpart_available,intended_changed_axes,intended_preserved_axes,expected_label_transition,canonical_counterpart_requirement,evidence_text_relation_requirement,reason_codes,generator_branch_location,structured_provenance_available,deterministic_contract_check_possible,polarity_check_possible,grammar_check_possible,unresolved_risk,sidecar_implementation_readiness
entity_swap,300,300,true,"[""name""]","[""location"",""object"",""polarity"",""predicate"",""role"",""time"",""title""]",NOT_ENTITLED; frame=0 predicate=0 sufficiency=1 polarity=NONE,exactly one same-pair none row,alternate_name replaces canonical name,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:399: fact, ""entity_swap"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
event_swap,300,300,true,"[""object""]","[""location"",""name"",""polarity"",""predicate"",""role"",""time"",""title""]",NOT_ENTITLED; frame=0 predicate=0 sufficiency=1 polarity=NONE,exactly one same-pair none row,alternate_object replaces canonical object,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:404: fact, ""event_swap"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
evidence_deletion,300,300,true,"[""content_deletion""]","[""claim"",""canonical_linkage"",""polarity""]",NOT_ENTITLED; frame=1 predicate=1 sufficiency=0 polarity=NONE,exactly one same-pair none row,fixed deletion message,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:438: fact, ""evidence_deletion"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
evidence_truncation,300,300,true,"[""content_truncation""]","[""claim"",""canonical_linkage"",""polarity""]",NOT_ENTITLED; frame=1 predicate=1 sufficiency=0 polarity=NONE,exactly one same-pair none row,fixed canonical title/name truncation,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:443: fact, ""evidence_truncation"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
irrelevant_evidence,300,300,true,"[""content_replacement""]","[""claim"",""canonical_linkage"",""polarity""]",NOT_ENTITLED; frame=0 predicate=0 sufficiency=0 polarity=NONE,exactly one same-pair none row,fixed unrelated evidence,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:448: fact, ""irrelevant_evidence"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
location_swap,300,300,true,"[""location""]","[""name"",""object"",""polarity"",""predicate"",""role"",""time"",""title""]",NOT_ENTITLED; frame=0 predicate=1 sufficiency=1 polarity=NONE,exactly one same-pair none row,alternate_location replaces canonical location,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:414: fact, ""location_swap"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
none,300,300,true,[],"[""location"",""name"",""object"",""polarity"",""predicate"",""role"",""time"",""title""]",canonical final/polarity; frame=1 predicate=1 sufficiency=1,exactly one same-pair none row,evidence is canonical rendering,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:391: fact, ""none"", _statement(fact, negative=base_refute),",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
paraphrase,300,300,true,"[""realization""]","[""location"",""name"",""object"",""polarity"",""predicate"",""role"",""time"",""title""]",same final/polarity as canonical; frame=1 predicate=1 sufficiency=1,exactly one same-pair none row,deterministic paraphrase of canonical structured fact,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:395: fact, ""paraphrase"", _paraphrase(fact, negative=base_refute),",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
polarity_flip,300,300,true,"[""polarity""]","[""location"",""name"",""object"",""predicate"",""role"",""time"",""title""]",canonical SUPPORT/REFUTE flipped; frame=1 predicate=1 sufficiency=1,exactly one same-pair none row,deterministic negation inversion,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:453: fact, ""polarity_flip"", _statement(fact, negative=not base_refute),",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
predicate_swap,300,300,true,"[""predicate""]","[""location"",""name"",""object"",""polarity"",""role"",""time"",""title""]",NOT_ENTITLED; frame=1 predicate=0 sufficiency=1 polarity=NONE,exactly one same-pair none row,alternate_predicate replaces canonical predicate,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:433: fact, ""predicate_swap"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
role_swap,300,300,true,"[""role""]","[""location"",""name"",""object"",""polarity"",""predicate"",""time"",""title""]",NOT_ENTITLED; frame=0 predicate=1 sufficiency=1 polarity=NONE,exactly one same-pair none row,alternate_role replaces canonical role,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:419: fact, ""role_swap"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
title_name_swap,300,300,true,"[""title"",""name""]","[""location"",""object"",""polarity"",""predicate"",""role"",""time""]",NOT_ENTITLED; frame=0 predicate=0 sufficiency=1 polarity=NONE,exactly one same-pair none row,alternate_title and alternate_name replace canonical values,"[""INTERVENTION_CONTRACT_FAIL"",""INTERVENTION_CONTRACT_UNRESOLVED""]","/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:424: fact, ""title_name_swap"",",true,true,true,true,general grammar and any missing exact generator provenance remain UNRESOLVED,ready_fail_closed
