row_id,item_role,intervention_type,stage176_cohort,frame_prediction,frame_label,centroid_prediction,centroid_correct,agreement_class
generated_fact_055__none,hard,none,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_086__none,hard,none,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_090__none,hard,none,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_146__none,hard,none,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_195__polarity_flip,hard,polarity_flip,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_230__polarity_flip,hard,polarity_flip,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_240__polarity_flip,hard,polarity_flip,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_262__polarity_flip,hard,polarity_flip,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_274__polarity_flip,hard,polarity_flip,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_287__polarity_flip,hard,polarity_flip,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
language_program__paraphrase,hard,paraphrase,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
museum_purchase__none,hard,none,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
reef_protection__location_swap,hard,location_swap,beneficial_correction,1,0,0,True,HEAD_WRONG_CENTROID_CORRECT
satellite_launch__none,hard,none,harmful_regression,0,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_115__none,control,none,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_083__none,control,none,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_089__none,control,none,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_227__polarity_flip,control,polarity_flip,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
reef_protection__none,control,none,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_297__polarity_flip,control,polarity_flip,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_055__location_swap,control,location_swap,none,0,0,0,True,HEAD_WRONG_CENTROID_CORRECT
generated_fact_161__polarity_flip,control,polarity_flip,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_257__polarity_flip,control,polarity_flip,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_075__paraphrase,control,paraphrase,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_166__polarity_flip,control,polarity_flip,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_285__polarity_flip,control,polarity_flip,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_118__none,control,none,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
generated_fact_045__none,control,none,none,1,1,0,False,HEAD_WRONG_CENTROID_WRONG
