scope,run,gate,required,observed,passed,blocking_reason
path,,repo_root,existing directory,/kaggle/working/ContraMamba,true,
path,,source_analysis_name,stage196b2a_analysis.json,stage196b2a_analysis.json,true,
path,,paths_below_repository,true,"{""output"":true,""source"":true}",true,
path,,source_output_separation,non-overlapping directory trees,"{""output_directory"":""/kaggle/working/ContraMamba/reports/stage196b2b1_recovery_harm_bifurcation_analysis_20260719_213133"",""source_directory"":""/kaggle/working/ContraMamba/reports/stage196b2a_framegate_entitlement_propagation_analysis_20260719_205621""}",true,
path,,new_empty_output,true,true,true,
source,,exact_nine_file_source_closure,"[""stage196b2a_analysis.json"",""stage196b2a_channel_transition_summary.csv"",""stage196b2a_contract.csv"",""stage196b2a_epoch_propagation.csv"",""stage196b2a_harm_rescue_rows.csv"",""stage196b2a_recurrent_position_propagation.csv"",""stage196b2a_report.md"",""stage196b2a_seed_summary.csv"",""stage196b2a_support_transition_rows.csv""]","[""stage196b2a_analysis.json"",""stage196b2a_channel_transition_summary.csv"",""stage196b2a_contract.csv"",""stage196b2a_epoch_propagation.csv"",""stage196b2a_harm_rescue_rows.csv"",""stage196b2a_recurrent_position_propagation.csv"",""stage196b2a_report.md"",""stage196b2a_seed_summary.csv"",""stage196b2a_support_transition_rows.csv""]",true,
source,,completed_b2a_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2A_SEED_SPECIFIC_MIXED_PROPAGATION"",""recommended_next_stage"":""STAGE196B2B_NO_PROMOTION_MINIMAL_SEED_SPECIFIC_FOLLOWUP""}","{""blocking_reasons"":[],""decision"":""STAGE196B2A_SEED_SPECIFIC_MIXED_PROPAGATION"",""recommended_next_stage"":""STAGE196B2B_NO_PROMOTION_MINIMAL_SEED_SPECIFIC_FOLLOWUP""}",true,
source,,all_source_contract_gates_passed,true,true,true,
source,,contract_native_logit_margin_authority,support_logit - not_entitled_logit,"{""p0_contract_rows"":6,""p0_sidecar_alignment_rows"":6}",true,
provenance,,normalized_source_roles,"{""framegate_implementation_origin_git_commit"":""5a39538ef3ca8f36cc2cc5d3290eae60d6a5f5c8"",""stage196b1_runtime_git_commit"":""9835cbbf86d83aca0964821669e63f7f6deb1c59"",""stage196b2a_analyzer_git_commit"":""833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6"",""stage196b2p0_runtime_git_commit"":""e9aaff24054f1d409119b70df13b94159a34a8e4"",""support_vs_not_entitled_margin_source"":""support_logit - not_entitled_logit""}","{""framegate_implementation_origin_git_commit"":""5a39538ef3ca8f36cc2cc5d3290eae60d6a5f5c8"",""stage196b1_runtime_git_commit"":""9835cbbf86d83aca0964821669e63f7f6deb1c59"",""stage196b2a_analyzer_git_commit"":""833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6"",""stage196b2p0_runtime_git_commit"":""e9aaff24054f1d409119b70df13b94159a34a8e4"",""support_vs_not_entitled_margin_source"":""support_logit - not_entitled_logit""}",true,
provenance,,explicit_b2a_analyzer_commit,833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6,833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6,true,
provenance,,current_analyzer_commit_format,lowercase 40-hex,85f1de8f9e0393ccdca5da4bc0725d88d8f427c9,true,
provenance,,current_analyzer_commit_equals_head,85f1de8f9e0393ccdca5da4bc0725d88d8f427c9,85f1de8f9e0393ccdca5da4bc0725d88d8f427c9,true,
source,,three_seed_summary_rows,3,3,true,
source,,sixty_epoch_propagation_rows,60,60,true,
source,,support_transition_row_closure,4320,4320,true,
source,,derived_seed_roles,"{""contrast"":[183],""positive"":[184,185]}","{""contrast"":[183],""positive"":[184,185]}",true,
source,,primary_decision_populations,"{""184"":12,""185"":18}","{""184"":12,""185"":18}",true,
source,,positive_seed_largest_blockers,"{""184"":[""FRAME_REMAINS_SUBTHRESHOLD"",1.0],""185"":[""FRAME_REMAINS_SUBTHRESHOLD"",1.0]}","{""184"":[""FRAME_REMAINS_SUBTHRESHOLD"",""1.0""],""185"":[""FRAME_REMAINS_SUBTHRESHOLD"",""1.0""]}",true,
source,,positive_seed_rescue_harm_counts,"{""184"":{""harm"":6,""recovery"":5},""185"":{""harm"":3,""recovery"":2}}","{""184"":{""harm"":6,""recovery"":5},""185"":{""harm"":3,""recovery"":2}}",true,
source,,epoch_seed_grid,3 seeds x epochs 1-20,60,true,
population,,exact_disjoint_primary_populations,"{""184"":{""harm"":6,""recovery"":5},""185"":{""harm"":3,""recovery"":2}}","{""184"":{""harm"":6,""recovery"":5},""185"":{""harm"":3,""recovery"":2}}",true,
decision,,precommitted_decision_set,"[""STAGE196B2B1_ISOLATED_FRAME_DEFICIT_BIFURCATION"",""STAGE196B2B1_FRAME_BOUNDARY_BIFURCATION"",""STAGE196B2B1_LOCAL_STATE_OVERLAP_COMPOSITION_ONLY_SEPARATION"",""STAGE196B2B1_SEED_SPECIFIC_NO_STABLE_BIFURCATION"",""STAGE196B2B1_ANALYSIS_INCOMPLETE""]",STAGE196B2B1_SEED_SPECIFIC_NO_STABLE_BIFURCATION,true,
