hard_source_row_id,control_source_row_id,same_pass1_judgment,same_gold_assessment,same_intervention_validity,same_semantic_phenomenon,same_failure_locus,hard_only_issue,control_shared_issue,matched_control_anomaly,interpretation
clinic_expansion__location_swap,satellite_launch__location_swap,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_055__none,generated_fact_045__none,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_078__location_swap,generated_fact_120__location_swap,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_080__location_swap,generated_fact_128__location_swap,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_083__role_swap,generated_fact_151__role_swap,True,True,False,True,False,True,False,True,matched_control_anomaly_weakens_contrast
generated_fact_086__entity_swap,generated_fact_158__entity_swap,True,True,False,True,False,True,False,True,matched_control_anomaly_weakens_contrast
generated_fact_086__none,reef_protection__none,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_087__role_swap,generated_fact_039__role_swap,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_090__location_swap,generated_fact_138__location_swap,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_090__none,generated_fact_118__none,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_110__entity_swap,generated_fact_176__entity_swap,True,True,False,True,False,True,False,True,matched_control_anomaly_weakens_contrast
generated_fact_135__role_swap,generated_fact_165__role_swap,True,True,False,True,False,True,False,True,matched_control_anomaly_weakens_contrast
generated_fact_146__none,generated_fact_089__none,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
generated_fact_153__location_swap,generated_fact_161__location_swap,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_158__location_swap,generated_fact_146__location_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_158__role_swap,generated_fact_110__role_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_158__title_name_swap,generated_fact_110__title_name_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_176__location_swap,generated_fact_172__location_swap,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_195__polarity_flip,generated_fact_227__polarity_flip,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_225__location_swap,generated_fact_089__location_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_227__title_name_swap,generated_fact_039__title_name_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_230__polarity_flip,generated_fact_257__polarity_flip,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_230__role_swap,generated_fact_176__role_swap,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_230__title_name_swap,generated_fact_080__title_name_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_238__location_swap,generated_fact_073__location_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_240__polarity_flip,generated_fact_166__polarity_flip,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_262__polarity_flip,generated_fact_285__polarity_flip,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_271__location_swap,generated_fact_039__location_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_271__role_swap,generated_fact_221__role_swap,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_273__location_swap,generated_fact_075__location_swap,True,True,False,True,False,True,False,False,hard_only_intervention_construction_evidence
generated_fact_274__polarity_flip,generated_fact_297__polarity_flip,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_287__polarity_flip,generated_fact_161__polarity_flip,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
generated_fact_300__polarity_flip,generated_fact_078__polarity_flip,True,True,True,True,True,False,True,True,matched_control_anomaly_weakens_contrast
language_program__paraphrase,generated_fact_075__paraphrase,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
museum_purchase__none,generated_fact_115__none,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
orion_approval__location_swap,museum_purchase__location_swap,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
reef_protection__location_swap,generated_fact_055__location_swap,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
satellite_launch__event_swap,generated_fact_146__event_swap,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
satellite_launch__none,generated_fact_083__none,True,True,True,True,False,True,False,False,hard_only_model_failure_evidence
