stage123b_interface,stage122_source_stage121_family,stage122_variant,gold_label,correct_SUPPORT,correct_REFUTE,correct_NE,false_NE_SUPPORT,false_NE_REFUTE,false_entitlement,SUPPORT_to_REFUTE,REFUTE_to_SUPPORT,other,total,failure_total,failure_rate
context_prefix_core,explicit_before_temporal,core_only,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,explicit_before_temporal,core_only,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,explicit_before_temporal,core_plus_suffix,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,explicit_before_temporal,core_plus_suffix,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,explicit_before_temporal,core_with_neutral_marker,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,explicit_before_temporal,core_with_neutral_marker,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,explicit_before_temporal,original_control,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,explicit_before_temporal,original_control,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,explicit_before_temporal,prefix_only,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,explicit_before_temporal,prefix_only,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,explicit_before_temporal,prefix_plus_core,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,explicit_before_temporal,prefix_plus_core,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,explicit_before_temporal,prefix_separator_core,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,explicit_before_temporal,prefix_separator_core,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,length_matched_neutral_tokens,core_only,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,core_only,REFUTE,0,12,0,0,1,0,0,0,0,13,1,0.076923
context_prefix_core,length_matched_neutral_tokens,core_only,SUPPORT,0,0,0,2,0,0,10,0,0,12,12,1.0
context_prefix_core,length_matched_neutral_tokens,core_plus_suffix,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,core_plus_suffix,REFUTE,0,12,0,0,1,0,0,0,0,13,1,0.076923
context_prefix_core,length_matched_neutral_tokens,core_plus_suffix,SUPPORT,0,0,0,2,0,0,10,0,0,12,12,1.0
context_prefix_core,length_matched_neutral_tokens,core_with_neutral_marker,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,core_with_neutral_marker,REFUTE,0,12,0,0,1,0,0,0,0,13,1,0.076923
context_prefix_core,length_matched_neutral_tokens,core_with_neutral_marker,SUPPORT,0,0,0,2,0,0,10,0,0,12,12,1.0
context_prefix_core,length_matched_neutral_tokens,original_control,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,original_control,REFUTE,0,12,0,0,1,0,0,0,0,13,1,0.076923
context_prefix_core,length_matched_neutral_tokens,original_control,SUPPORT,0,0,0,2,0,0,10,0,0,12,12,1.0
context_prefix_core,length_matched_neutral_tokens,prefix_only,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,prefix_only,REFUTE,0,12,0,0,1,0,0,0,0,13,1,0.076923
context_prefix_core,length_matched_neutral_tokens,prefix_only,SUPPORT,0,0,0,2,0,0,10,0,0,12,12,1.0
context_prefix_core,length_matched_neutral_tokens,prefix_plus_core,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,prefix_plus_core,REFUTE,0,12,0,0,1,0,0,0,0,13,1,0.076923
context_prefix_core,length_matched_neutral_tokens,prefix_plus_core,SUPPORT,0,0,0,2,0,0,10,0,0,12,12,1.0
context_prefix_core,length_matched_neutral_tokens,prefix_separator_core,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,prefix_separator_core,REFUTE,0,12,0,0,1,0,0,0,0,13,1,0.076923
context_prefix_core,length_matched_neutral_tokens,prefix_separator_core,SUPPORT,0,0,0,2,0,0,10,0,0,12,12,1.0
context_prefix_core,length_matched_nonsense,core_only,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,core_only,REFUTE,0,3,0,0,10,0,0,0,0,13,10,0.769231
context_prefix_core,length_matched_nonsense,core_only,SUPPORT,0,0,0,12,0,0,0,0,0,12,12,1.0
context_prefix_core,length_matched_nonsense,core_plus_suffix,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,core_plus_suffix,REFUTE,0,3,0,0,10,0,0,0,0,13,10,0.769231
context_prefix_core,length_matched_nonsense,core_plus_suffix,SUPPORT,0,0,0,12,0,0,0,0,0,12,12,1.0
context_prefix_core,length_matched_nonsense,core_with_neutral_marker,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,core_with_neutral_marker,REFUTE,0,3,0,0,10,0,0,0,0,13,10,0.769231
context_prefix_core,length_matched_nonsense,core_with_neutral_marker,SUPPORT,0,0,0,12,0,0,0,0,0,12,12,1.0
context_prefix_core,length_matched_nonsense,original_control,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,original_control,REFUTE,0,3,0,0,10,0,0,0,0,13,10,0.769231
context_prefix_core,length_matched_nonsense,original_control,SUPPORT,0,0,0,12,0,0,0,0,0,12,12,1.0
context_prefix_core,length_matched_nonsense,prefix_only,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,prefix_only,REFUTE,0,3,0,0,10,0,0,0,0,13,10,0.769231
context_prefix_core,length_matched_nonsense,prefix_only,SUPPORT,0,0,0,12,0,0,0,0,0,12,12,1.0
context_prefix_core,length_matched_nonsense,prefix_plus_core,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,prefix_plus_core,REFUTE,0,3,0,0,10,0,0,0,0,13,10,0.769231
context_prefix_core,length_matched_nonsense,prefix_plus_core,SUPPORT,0,0,0,12,0,0,0,0,0,12,12,1.0
context_prefix_core,length_matched_nonsense,prefix_separator_core,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,prefix_separator_core,REFUTE,0,3,0,0,10,0,0,0,0,13,10,0.769231
context_prefix_core,length_matched_nonsense,prefix_separator_core,SUPPORT,0,0,0,12,0,0,0,0,0,12,12,1.0
context_prefix_core,long_discourse_no_temporal,core_only,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,core_only,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_discourse_no_temporal,core_only,SUPPORT,0,0,0,7,0,0,5,0,0,12,12,1.0
context_prefix_core,long_discourse_no_temporal,core_plus_suffix,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,core_plus_suffix,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_discourse_no_temporal,core_plus_suffix,SUPPORT,0,0,0,7,0,0,5,0,0,12,12,1.0
context_prefix_core,long_discourse_no_temporal,core_with_neutral_marker,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,core_with_neutral_marker,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_discourse_no_temporal,core_with_neutral_marker,SUPPORT,0,0,0,7,0,0,5,0,0,12,12,1.0
context_prefix_core,long_discourse_no_temporal,original_control,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,original_control,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_discourse_no_temporal,original_control,SUPPORT,0,0,0,7,0,0,5,0,0,12,12,1.0
context_prefix_core,long_discourse_no_temporal,prefix_only,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,prefix_only,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_discourse_no_temporal,prefix_only,SUPPORT,0,0,0,7,0,0,5,0,0,12,12,1.0
context_prefix_core,long_discourse_no_temporal,prefix_plus_core,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,prefix_plus_core,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_discourse_no_temporal,prefix_plus_core,SUPPORT,0,0,0,7,0,0,5,0,0,12,12,1.0
context_prefix_core,long_discourse_no_temporal,prefix_separator_core,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,prefix_separator_core,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_discourse_no_temporal,prefix_separator_core,SUPPORT,0,0,0,7,0,0,5,0,0,12,12,1.0
context_prefix_core,long_neutral_no_order,core_only,NOT_ENTITLED,0,0,53,0,0,22,0,0,0,75,22,0.293333
context_prefix_core,long_neutral_no_order,core_only,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_neutral_no_order,core_only,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,long_neutral_no_order,core_plus_suffix,NOT_ENTITLED,0,0,53,0,0,22,0,0,0,75,22,0.293333
context_prefix_core,long_neutral_no_order,core_plus_suffix,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_neutral_no_order,core_plus_suffix,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,long_neutral_no_order,core_with_neutral_marker,NOT_ENTITLED,0,0,53,0,0,22,0,0,0,75,22,0.293333
context_prefix_core,long_neutral_no_order,core_with_neutral_marker,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_neutral_no_order,core_with_neutral_marker,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,long_neutral_no_order,original_control,NOT_ENTITLED,0,0,53,0,0,22,0,0,0,75,22,0.293333
context_prefix_core,long_neutral_no_order,original_control,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_neutral_no_order,original_control,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,long_neutral_no_order,prefix_only,NOT_ENTITLED,0,0,53,0,0,22,0,0,0,75,22,0.293333
context_prefix_core,long_neutral_no_order,prefix_only,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_neutral_no_order,prefix_only,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,long_neutral_no_order,prefix_plus_core,NOT_ENTITLED,0,0,53,0,0,22,0,0,0,75,22,0.293333
context_prefix_core,long_neutral_no_order,prefix_plus_core,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_neutral_no_order,prefix_plus_core,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,long_neutral_no_order,prefix_separator_core,NOT_ENTITLED,0,0,53,0,0,22,0,0,0,75,22,0.293333
context_prefix_core,long_neutral_no_order,prefix_separator_core,REFUTE,0,11,0,0,2,0,0,0,0,13,2,0.153846
context_prefix_core,long_neutral_no_order,prefix_separator_core,SUPPORT,0,0,0,0,0,0,12,0,0,12,12,1.0
context_prefix_core,old_before_prefix,core_only,NOT_ENTITLED,0,0,53,0,0,22,0,0,0,75,22,0.293333
context_prefix_core,old_before_prefix,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
