criterion,required,authoritative_source,derivation_mode,structured_inputs,deterministic,exhaustive,text_heuristic_required,model_required,manual_annotation_required,can_fail_closed,unresolved_possible,implementation_ready,evidence,limitation
grammar_valid,true,generator structured arguments + deterministic template/morphology contract,known-template PASS/FAIL; otherwise UNRESOLVED,"[""predicate"",""alternate_predicate"",""rendered evidence""]",true,true,false,false,false,true,true,true,"/kaggle/working/ContraMamba/scripts/analyze_stage182a_controlled_intervention_integrity.py:421: def grammar_anomaly(row: dict[str, Any], fact: dict[str, Any]) -> bool:",general English grammaticality is never inferred
intervention_contract_exact,true,generator branch + structured arguments + Stage182 intended-axis contract,exact structured-axis delta relative to canonical none,"[""family branch"",""original/alternate axes"",""canonical row"",""labels""]",true,true,false,false,false,true,true,true,"/kaggle/working/ContraMamba/scripts/analyze_stage182a_controlled_intervention_integrity.py:60: INTENDED_AXES: dict[str, set[str]] = { | /kaggle/working/ContraMamba/scripts/analyze_stage182a_controlled_intervention_integrity.py:406: def changed_axes(row: dict[str, Any], none: dict[str, Any], fact: dict[str, Any]) -> set[str]:",family name and generator equality alone cannot pass
polarity_contamination_absent,true,structured polarity labels + deterministic rendered polarity + canonical row,declared polarity delta and realization consistency,"[""intervention_type"",""polarity_label"",""canonical polarity"",""rendered evidence""]",true,true,false,false,false,true,true,true,"/kaggle/working/ContraMamba/scripts/analyze_stage182a_controlled_intervention_integrity.py:471: polarity_leak = intervention in NON_POLARITY and ""polarity"" in changed",no sentiment model or heuristic lexicon
schema_resolved,true,generator REQUIRED_FIELDS/enums/types + sidecar linkage schema,static type/nullability/enum/identity validation,"[""claim"",""evidence"",""final_label"",""frame_compatible_label"",""id"",""intervention_type"",""pair_id"",""polarity_label"",""predicate_covered_label"",""primary_failure_type"",""sufficiency_label""]",true,true,false,false,false,true,true,true,"/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:474: def validate_record(record: dict, row_number: int | None = None) -> None:",structural validity only
canonical_row_valid,true,same-pair none row + reconstructed canonical fact/linkage,unique structural canonical validation,"[""pair_id"",""none row"",""canonical labels"",""claim/evidence linkage""]",true,true,false,false,false,true,true,true,"/kaggle/working/ContraMamba/scripts/analyze_stage182a_controlled_intervention_integrity.py:440: none_id = f""{pair_id}__none""",does not assert real-world truth
time_swap_absent,true,authoritative JSONL intervention_type,exact count/equality,"[""intervention_type""]",true,true,false,false,false,true,false,true,exact row field,time_swap rows are excluded
authoritative_main_dataset,true,resolved path + dataset SHA-256,exact path/hash contract,"[""source path"",""SHA-256""]",true,true,false,false,false,true,false,true,dataset identity audit,same content at an unapproved source cannot silently replace canonical provenance
not_external_or_stage34_35,true,authoritative path/hash allowlist,exact source allowlist,"[""source path"",""SHA-256""]",true,true,false,false,false,true,false,true,authoritative dataset identity,no family/text inference
required_base_schema_present,true,generator REQUIRED_FIELDS and type/enum contract,static schema validation,"[""claim"",""evidence"",""final_label"",""frame_compatible_label"",""id"",""intervention_type"",""pair_id"",""polarity_label"",""predicate_covered_label"",""primary_failure_type"",""sufficiency_label""]",true,true,false,false,false,true,false,true,"/kaggle/working/ContraMamba/scripts/build_controlled_v5.py:474: def validate_record(record: dict, row_number: int | None = None) -> None:",missing fields fail closed
frame_label_compatible,true,row frame_compatible_label,exact binary value,"[""frame_compatible_label"",""split""]",true,true,false,false,false,true,false,true,authoritative row label,"loss scope, not semantic cleanliness"
