review_instance_id,source_item_id,hard_or_control,stage176_cohort,independent_frame_judgment,gold_frame_assessment,intervention_validity,diagnostic_failure_locus,recommended_data_action,confidence,rationale,queue_reason
R180-0001,generated_fact_176__entity_swap,control,none,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 entity_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0002,satellite_launch__event_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 event_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0003,generated_fact_230__role_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0005,reef_protection__location_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,head_direction_or_readout,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head만 오분류했지만 gold-conditioned centroid는 맞혀, 표현 자체보다는 frame readout 정렬 문제 후보로 남는다.",non_keep_data_action
R180-0006,generated_fact_240__polarity_flip,hard,harmful_regression,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0007,generated_fact_165__role_swap,control,none,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0011,generated_fact_087__role_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 role_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0012,generated_fact_230__polarity_flip,hard,harmful_regression,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0013,generated_fact_238__location_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0016,generated_fact_262__polarity_flip,hard,harmful_regression,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0018,generated_fact_110__entity_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 entity_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0020,generated_fact_300__polarity_flip,hard,harmful_regression,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0023,generated_fact_195__polarity_flip,hard,harmful_regression,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0024,generated_fact_083__role_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 role_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0026,generated_fact_151__role_swap,control,none,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0027,generated_fact_086__none,hard,harmful_regression,compatible,gold_consistent,canonical_control,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.,non_keep_data_action
R180-0028,generated_fact_285__polarity_flip,control,none,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0029,generated_fact_153__location_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0030,generated_fact_221__role_swap,control,none,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0031,orion_approval__location_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
