source_row_id,item_role,primary_stratum,secondary_tags,stage176_cohort,intervention_family,native_frame_label,native_frame_prediction,native_frame_correct,independent_frame_judgment,pass1_confidence,gold_frame_assessment,intervention_validity,primary_semantic_phenomenon,diagnostic_failure_locus,recommended_data_action,pass2_confidence,repeat_consistency,matched_control_source_id,matched_control_primary_stratum,matched_control_taxonomy,stage179_diagnostic_class,stage179_centroid_prediction,stage179_centroid_correct,stage179_frame_logit,stage179_head_direction_projection,data_priority_score,model_priority_score,classification_reason
generated_fact_039__location_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_039__role_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,role_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,role_relation,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_039__title_name_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,title_name_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_045__none,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,none,1,1,True,compatible,5,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_055__location_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_073__location_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_075__location_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,location_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_075__paraphrase,control,CLEAN_CONTROL_REFERENCE,"[""DATA_GRAMMAR_ARTIFACT"", ""PROVISIONAL_AI_REVIEW""]",none,paraphrase,1,1,True,compatible,5,gold_consistent,clean_single_axis_edit,lexical_or_surface_artifact,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
generated_fact_078__polarity_flip,control,CONTROL_ANOMALY,"[""CONTROL_CONTAMINATION"", ""DATA_GRAMMAR_ARTIFACT"", ""DATA_POLARITY_LEAK"", ""HARD_POLARITY"", ""LABEL_ADJUDICATION_REQUIRED"", ""PROVISIONAL_AI_REVIEW""]",none,polarity_flip,1,1,True,compatible,4,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,exact,,,,control_selected_native_correct,,,,,0,0,control_has_data_model_or_semantic_anomaly
generated_fact_080__title_name_swap,control,CLEAN_CONTROL_REFERENCE,"[""PROVISIONAL_AI_REVIEW""]",none,title_name_swap,0,0,True,incompatible,5,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,5,exact,,,,control_selected_native_correct,,,,,0,0,clean_correct_control
