row_id,pair_id,item_role,canonical_none_row_id,canonical_none_generator_exact,canonical_none_grammar_valid,packet_canonical_anchor_exact,matched_control_row_id,matched_control_valid,canonical_control_valid
clinic_expansion__location_swap,clinic_expansion,hard,clinic_expansion__none,True,True,True,satellite_launch__location_swap,True,True
generated_fact_039__location_swap,generated_fact_039,control,generated_fact_039__none,True,True,True,generated_fact_039__location_swap,True,True
generated_fact_039__role_swap,generated_fact_039,control,generated_fact_039__none,True,True,True,generated_fact_039__role_swap,True,True
generated_fact_039__title_name_swap,generated_fact_039,control,generated_fact_039__none,True,True,True,generated_fact_039__title_name_swap,True,True
generated_fact_045__none,generated_fact_045,control,generated_fact_045__none,True,True,True,generated_fact_045__none,True,True
generated_fact_055__location_swap,generated_fact_055,control,generated_fact_055__none,True,True,True,generated_fact_055__location_swap,True,True
generated_fact_055__none,generated_fact_055,hard,generated_fact_055__none,True,True,True,generated_fact_045__none,True,True
generated_fact_073__location_swap,generated_fact_073,control,generated_fact_073__none,True,True,True,generated_fact_073__location_swap,True,True
generated_fact_075__location_swap,generated_fact_075,control,generated_fact_075__none,True,True,True,generated_fact_075__location_swap,True,True
generated_fact_075__paraphrase,generated_fact_075,control,generated_fact_075__none,True,True,True,generated_fact_075__paraphrase,True,True
generated_fact_078__location_swap,generated_fact_078,hard,generated_fact_078__none,True,True,True,generated_fact_120__location_swap,True,True
generated_fact_078__polarity_flip,generated_fact_078,control,generated_fact_078__none,True,True,True,generated_fact_078__polarity_flip,False,False
generated_fact_080__location_swap,generated_fact_080,hard,generated_fact_080__none,True,True,True,generated_fact_128__location_swap,True,True
generated_fact_080__title_name_swap,generated_fact_080,control,generated_fact_080__none,True,True,True,generated_fact_080__title_name_swap,True,True
generated_fact_083__none,generated_fact_083,control,generated_fact_083__none,True,True,True,generated_fact_083__none,True,True
generated_fact_083__role_swap,generated_fact_083,hard,generated_fact_083__none,True,True,True,generated_fact_151__role_swap,False,False
generated_fact_086__entity_swap,generated_fact_086,hard,generated_fact_086__none,True,True,True,generated_fact_158__entity_swap,False,False
generated_fact_086__none,generated_fact_086,hard,generated_fact_086__none,True,True,True,reef_protection__none,True,True
generated_fact_087__role_swap,generated_fact_087,hard,generated_fact_087__none,True,True,True,generated_fact_039__role_swap,True,True
generated_fact_089__location_swap,generated_fact_089,control,generated_fact_089__none,True,True,True,generated_fact_089__location_swap,True,True
generated_fact_089__none,generated_fact_089,control,generated_fact_089__none,True,True,True,generated_fact_089__none,True,True
generated_fact_090__location_swap,generated_fact_090,hard,generated_fact_090__none,True,True,True,generated_fact_138__location_swap,True,True
generated_fact_090__none,generated_fact_090,hard,generated_fact_090__none,True,True,True,generated_fact_118__none,True,True
generated_fact_110__entity_swap,generated_fact_110,hard,generated_fact_110__none,True,True,True,generated_fact_176__entity_swap,False,False
generated_fact_110__role_swap,generated_fact_110,control,generated_fact_110__none,True,True,True,generated_fact_110__role_swap,True,True
generated_fact_110__title_name_swap,generated_fact_110,control,generated_fact_110__none,True,True,True,generated_fact_110__title_name_swap,True,True
generated_fact_115__none,generated_fact_115,control,generated_fact_115__none,True,True,True,generated_fact_115__none,True,True
generated_fact_118__none,generated_fact_118,control,generated_fact_118__none,True,True,True,generated_fact_118__none,True,True
generated_fact_120__location_swap,generated_fact_120,control,generated_fact_120__none,True,True,True,generated_fact_120__location_swap,True,True
generated_fact_128__location_swap,generated_fact_128,control,generated_fact_128__none,True,True,True,generated_fact_128__location_swap,True,True
generated_fact_135__role_swap,generated_fact_135,hard,generated_fact_135__none,True,True,True,generated_fact_165__role_swap,False,False
generated_fact_138__location_swap,generated_fact_138,control,generated_fact_138__none,True,True,True,generated_fact_138__location_swap,True,True
generated_fact_146__event_swap,generated_fact_146,control,generated_fact_146__none,True,True,True,generated_fact_146__event_swap,True,True
generated_fact_146__location_swap,generated_fact_146,control,generated_fact_146__none,True,True,True,generated_fact_146__location_swap,True,True
generated_fact_146__none,generated_fact_146,hard,generated_fact_146__none,True,True,True,generated_fact_089__none,True,True
generated_fact_151__role_swap,generated_fact_151,control,generated_fact_151__none,True,False,True,generated_fact_151__role_swap,False,False
generated_fact_153__location_swap,generated_fact_153,hard,generated_fact_153__none,True,False,True,generated_fact_161__location_swap,False,False
generated_fact_158__entity_swap,generated_fact_158,control,generated_fact_158__none,True,False,True,generated_fact_158__entity_swap,False,False
generated_fact_158__location_swap,generated_fact_158,hard,generated_fact_158__none,True,False,True,generated_fact_146__location_swap,True,True
generated_fact_158__role_swap,generated_fact_158,hard,generated_fact_158__none,True,False,True,generated_fact_110__role_swap,True,True
generated_fact_158__title_name_swap,generated_fact_158,hard,generated_fact_158__none,True,False,True,generated_fact_110__title_name_swap,True,True
generated_fact_161__location_swap,generated_fact_161,control,generated_fact_161__none,True,False,True,generated_fact_161__location_swap,False,False
generated_fact_161__polarity_flip,generated_fact_161,control,generated_fact_161__none,True,False,True,generated_fact_161__polarity_flip,True,True
generated_fact_165__role_swap,generated_fact_165,control,generated_fact_165__none,True,False,True,generated_fact_165__role_swap,False,False
generated_fact_166__polarity_flip,generated_fact_166,control,generated_fact_166__none,True,False,True,generated_fact_166__polarity_flip,True,True
generated_fact_172__location_swap,generated_fact_172,control,generated_fact_172__none,True,False,True,generated_fact_172__location_swap,False,False
generated_fact_176__entity_swap,generated_fact_176,control,generated_fact_176__none,True,False,True,generated_fact_176__entity_swap,False,False
generated_fact_176__location_swap,generated_fact_176,hard,generated_fact_176__none,True,False,True,generated_fact_172__location_swap,False,False
generated_fact_176__role_swap,generated_fact_176,control,generated_fact_176__none,True,False,True,generated_fact_176__role_swap,False,False
generated_fact_195__polarity_flip,generated_fact_195,hard,generated_fact_195__none,True,False,True,generated_fact_227__polarity_flip,True,True
generated_fact_221__role_swap,generated_fact_221,control,generated_fact_221__none,True,False,True,generated_fact_221__role_swap,False,False
generated_fact_225__location_swap,generated_fact_225,hard,generated_fact_225__none,True,False,True,generated_fact_089__location_swap,True,True
generated_fact_227__polarity_flip,generated_fact_227,control,generated_fact_227__none,True,False,True,generated_fact_227__polarity_flip,True,True
generated_fact_227__title_name_swap,generated_fact_227,hard,generated_fact_227__none,True,False,True,generated_fact_039__title_name_swap,True,True
generated_fact_230__polarity_flip,generated_fact_230,hard,generated_fact_230__none,True,False,True,generated_fact_257__polarity_flip,True,True
generated_fact_230__role_swap,generated_fact_230,hard,generated_fact_230__none,True,False,True,generated_fact_176__role_swap,False,False
generated_fact_230__title_name_swap,generated_fact_230,hard,generated_fact_230__none,True,False,True,generated_fact_080__title_name_swap,True,True
generated_fact_238__location_swap,generated_fact_238,hard,generated_fact_238__none,True,False,True,generated_fact_073__location_swap,True,True
generated_fact_240__polarity_flip,generated_fact_240,hard,generated_fact_240__none,True,False,True,generated_fact_166__polarity_flip,True,True
generated_fact_257__polarity_flip,generated_fact_257,control,generated_fact_257__none,True,False,True,generated_fact_257__polarity_flip,True,True
generated_fact_262__polarity_flip,generated_fact_262,hard,generated_fact_262__none,True,False,True,generated_fact_285__polarity_flip,True,True
generated_fact_271__location_swap,generated_fact_271,hard,generated_fact_271__none,True,False,True,generated_fact_039__location_swap,True,True
generated_fact_271__role_swap,generated_fact_271,hard,generated_fact_271__none,True,False,True,generated_fact_221__role_swap,False,False
generated_fact_273__location_swap,generated_fact_273,hard,generated_fact_273__none,True,False,True,generated_fact_075__location_swap,True,True
generated_fact_274__polarity_flip,generated_fact_274,hard,generated_fact_274__none,True,False,True,generated_fact_297__polarity_flip,True,True
